gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction,neglog_fdr,dependency_score,archetype
PRKAR1A,-0.5383205234241641,-0.15439503631075557,-0.38392548711340857,-1.5555487864913542,-9.841848662208955,3.242582953685803e-15,1.6598318913781384e-12,False,0.11969439728353141,0.5555555555555556,11.779935895299635,0.8373838369558492,pan-glioma-dep
LMNA,-0.653580163849344,-0.36539508750952626,-0.28818507633981777,-1.323874797709614,-6.902596144862197,1.4729587046702372e-09,2.74890918259083e-07,False,0.21477079796264856,0.5972222222222222,6.56083960797435,0.8652583072030666,pan-glioma-dep
RPP25L,-0.8883326965487299,-0.37245563849666025,-0.5158770580520697,-1.3083565507702313,-9.109468869192918,7.020248966296601e-14,3.067677572687071e-11,False,0.2937181663837012,0.7916666666666666,10.513190288713078,1.162255902792915,pan-glioma-dep
JUN,-0.6043523012498403,-0.28034713499338226,-0.32400516625645803,-1.2125751591718206,-7.744946568849582,3.317133814091233e-11,9.433296732263258e-09,False,0.17487266553480477,0.5555555555555556,8.025336504249111,0.7328225878838811,pan-glioma-dep
VRK1,-0.7914978060856416,-0.4525043614411634,-0.33899344464447817,-1.2118455907857624,-6.9608281782561665,1.0936082844748948e-09,2.106783443510991e-07,False,0.42614601018675724,0.8055555555555556,6.67638010327263,0.9591731264214891,pan-glioma-dep
CTDNEP1,-0.6984696180452405,-0.4288988767050855,-0.2695707413401551,-1.136694801093814,-7.596656897006418,6.115207465531006e-11,1.5878269123543985e-08,False,0.3870967741935484,0.75,7.79919684139657,0.7939467835540069,pan-glioma-dep
FERMT2,-1.0813017039280832,-0.5839646342187769,-0.49733706970930636,-0.9849211235687436,-8.510011805308977,6.966790505651265e-13,2.600354556234335e-10,False,0.46774193548387094,0.875,9.584967432291501,1.0649968891496446,pan-glioma-dep
MET,-0.2959464253827698,-0.12767138520253732,-0.16827504018023245,-0.9820219051170668,-3.980783881836658,0.00016102586368620412,0.0038838823557679762,False,0.030560271646859084,0.2222222222222222,2.410733933505173,0.2906258724669734,subset-dep
ITGAV,-1.0241786152471235,-0.6121264664356896,-0.4120521488114339,-0.9313554733107189,-8.987568095502501,5.775042854425161e-14,2.722780731049505e-11,False,0.5263157894736842,0.9166666666666666,10.564987331531698,0.9538743589582014,pan-glioma-dep
CHMP4B,-1.5527638521903049,-1.0118393862046622,-0.5409244659856427,-0.9279605134090227,-8.676784306135241,2.6786322124069613e-13,1.0906903344882526e-10,True,0.7860780984719864,0.9861111111111112,9.962298535491048,1.4409035414814872,pan-glioma-dep
C3orf38,-0.57108249124729,-0.3225347508183205,-0.24854774042896954,-0.9228878742890233,-6.704618127442826,2.8403637225099017e-09,5.192648617600754e-07,False,0.2037351443123939,0.5555555555555556,6.284611064772591,0.5270451063908913,pan-glioma-dep
SPCS3,-1.3076720750962554,-1.0603236102268165,-0.24734846486943884,-0.8954576819382083,-7.943528793435771,8.79733060082935e-12,2.9187587971196045e-09,True,0.9813242784380306,1.0,8.53480179312716,1.1709650051010194,pan-glioma-dep
VCL,-0.573567767698867,-0.38719495882027993,-0.18637280887858704,-0.8925667177137667,-6.116103010019226,3.6761873783975286e-08,5.14551352120079e-06,False,0.27419354838709675,0.5555555555555556,5.288571276237831,0.5119474998013899,pan-glioma-dep
ITGB5,-0.582001271003651,-0.2981820116212864,-0.2838192593823646,-0.8604489360947074,-5.874176739427013,1.016401406183114e-07,1.16729792263953e-05,False,0.2232597623089983,0.4583333333333333,4.932818287360165,0.5007823744408589,pan-glioma-dep
SURF4,-0.3415652442056192,-0.16498121000223304,-0.17658403420338614,-0.8433936874795432,-4.613543014469434,1.6089192553517044e-05,0.0007047774420264335,False,0.06876061120543293,0.2916666666666667,3.1519480049368505,0.28807397082542785,subset-dep
PDGFRA,-0.409077186802224,-0.24902678505431386,-0.16005040174791013,-0.843232797061861,-3.9815859354439116,0.00015920889571126678,0.0038568140432276078,False,0.07215619694397284,0.2638888888888889,2.413771300192039,0.3449473004414368,subset-dep
NOLC1,-0.6429296467087683,-0.47793085697840487,-0.16499878973036342,-0.8365604743937822,-6.5915513522166425,4.343216196692585e-09,7.628731507837682e-07,True,0.43378607809847197,0.75,6.117547669770568,0.537849530252514,pan-glioma-dep
GPX4,-1.2317813041318542,-0.8065661431027746,-0.4252151610290795,-0.829685861021957,-4.948863254311631,4.418010349073623e-06,0.0002743910979591418,True,0.7054329371816639,0.8888888888888888,3.5616299825058673,1.0219915319093864,pan-glioma-dep
KIF18B,-0.7284770388636128,-0.4598508353049325,-0.26862620355868033,-0.8183497716713803,-4.669644453748745,1.295069427180782e-05,0.0006026613988927504,False,0.32597623089983024,0.5694444444444444,3.2199266246673903,0.5961490184218808,pan-glioma-dep
TRAPPC13,-0.5111462189464862,-0.3448488425073381,-0.16629737643914805,-0.7982073376013507,-5.9060332210891655,8.53845444911801e-08,1.0064141441473572e-05,False,0.20118845500848898,0.4583333333333333,4.997223268279983,0.4080006625502718,pan-glioma-dep
PTK2,-0.8399534667162262,-0.5471071088519015,-0.29284635786432467,-0.7824314549369636,-6.016359227120177,5.241564124903225e-08,6.566983416906726e-06,False,0.49490662139219016,0.75,5.182634080401152,0.6572060130421233,pan-glioma-dep
UBC,-0.6494979880688525,-0.383919169963664,-0.2655788181051885,-0.7654005134207772,-4.041620382062649,0.000245843716562434,0.00512751574613803,False,0.11375212224108659,0.2916666666666667,2.2900929972783954,0.49712609353366155,pan-glioma-dep
RPL10A,-2.3463478265622766,-2.095175038863167,-0.25117278769910945,-0.7544416089185297,-6.812838833694472,1.4188173111494999e-09,2.6757400996373094e-07,True,1.0,1.0,6.572556072808174,1.7701824293541393,pan-glioma-dep
FGFR1,-0.34185838213631253,-0.10892529969684214,-0.2329330824394704,-0.7518928867898877,-4.681178368649516,1.2211708263645838e-05,0.0005831807036720077,False,0.0933786078098472,0.2777777777777778,3.234196854421581,0.2570408858177926,subset-dep
SPOUT1,-1.5797120505021616,-1.343251274937788,-0.2364607755643735,-0.7390745469817674,-6.046041358203336,4.430067543741218e-08,6.012809857096036e-06,True,0.99830220713073,1.0,5.2209225296186,1.167524968086524,pan-glioma-dep
BCCIP,-0.6944073935319967,-0.5658280581682518,-0.12857933536374488,-0.7152781700031215,-4.804691669058526,7.502618982804312e-06,0.0004085620720240792,True,0.6994906621392191,0.875,3.388741952620839,0.49669444968220405,pan-glioma-dep
POLR1H,-1.0246882479156876,-0.8586720909103511,-0.16601615700533645,-0.7103535009424833,-5.897325222449871,8.244943286974332e-08,9.78254330658491e-06,True,0.9354838709677419,0.9861111111111112,5.009548220833955,0.7278908842815279,pan-glioma-dep
EAF1,-0.6405691253786434,-0.41836616335385657,-0.22220296202478684,-0.6993585244349864,-4.784382798692184,8.07496140342638e-06,0.0004331467320472666,False,0.3599320882852292,0.625,3.3633649578647526,0.44798747832341784,pan-glioma-dep
NHLRC2,-0.944787981021584,-0.6195784177085608,-0.3252095633130232,-0.6991125894540118,-5.075165747071924,2.557662308401534e-06,0.0001789963981145386,False,0.5840407470288624,0.7777777777777778,3.747155708096749,0.6605131718970273,pan-glioma-dep
FRS2,-0.3765045054597337,-0.2614768716538435,-0.1150276338058902,-0.6942624394469267,-4.93352694642832,4.489536505809103e-06,0.0002764073403370306,False,0.09507640067911714,0.2361111111111111,3.5584504279203486,0.2613929364232334,subset-dep
CCT6A,-1.8334211908788391,-1.645826907736052,-0.18759428314278725,-0.6822496045393389,-6.363286745460834,9.981405017365145e-09,1.5825385158505659e-06,True,0.99830220713073,1.0,5.80064571131515,1.2508508824311317,pan-glioma-dep
ALG1,-0.9999628164831864,-0.7851068584816333,-0.2148559580015531,-0.6772558112775787,-6.450294819148043,6.642803730039545e-09,1.1122660899755933e-06,True,0.8455008488964346,0.9583333333333334,5.953791303056141,0.677230628524733,pan-glioma-dep
CDC25B,-0.47017317692488675,-0.3188694360055266,-0.15130374091936016,-0.6751937536941661,-4.514703571446148,2.2504912612030756e-05,0.0009101535312802325,False,0.19524617996604415,0.3888888888888889,3.0408853415650134,0.31745799221422555,subset-dep
TIMM9,-0.6556744309003568,-0.5169011420860785,-0.1387732888142783,-0.6722212290622106,-4.484308293972396,2.5210094749663794e-05,0.0009904913542433695,True,0.565365025466893,0.8055555555555556,3.004149310959138,0.44075827180450333,pan-glioma-dep
KLF16,-0.46805049410116895,-0.33761960179376094,-0.130430892307408,-0.6721502828712506,-5.997086036523724,5.101993462564372e-08,6.547472685788573e-06,False,0.21901528013582344,0.4583333333333333,5.183926304653176,0.3146002720081293,subset-dep
KIF2C,-0.44499738156992763,-0.2997660943763327,-0.1452312871935949,-0.663959221805598,-5.292027885353682,1.0357617276009778e-06,8.396700050542588e-05,False,0.1774193548387097,0.3333333333333333,4.075891360535848,0.2954601151726979,subset-dep
GOLT1B,-0.4632648287298778,-0.317625808067063,-0.1456390206628148,-0.6618797149662767,-6.465292909608532,6.025995574270904e-09,1.0282070162727383e-06,False,0.18760611205432937,0.3888888888888889,5.987919436922849,0.3066255927936325,subset-dep
TCP1,-2.0684737677024594,-1.8511335344793058,-0.21734023322315354,-0.6511043905091738,-5.608733716717671,2.7038624094768084e-07,2.6763756313915193e-05,True,1.0,1.0,4.572452933059672,1.346792351804124,pan-glioma-dep
PSMG4,-1.571708010303134,-1.2840173276295777,-0.28769068267355635,-0.6319311617614669,-5.426263735464786,5.766145790878623e-07,5.21748828229199e-05,True,0.9422750424448217,0.9861111111111112,4.28253851762267,0.993211268900663,pan-glioma-dep
