gene,top_expr_partner,r,cohens_d,p,sig,likely_paralog,rank_all,pair_reported_before,report_evidence_level,reported_reference,dep_lowExpr,dep_highExpr,gene_root,partner_root
FAM50A,FAM50B,0.753,-3.14,0.0,True,True,130,yes,validated,FAM50A←FAM50B: Thompson/Parrish 2021 Nat Commun; PaCT Cell Rep 2022; dual-KO validated,-1.1,-0.165,FAM,FAM
RPP25L,RPP25,0.73,-2.16,0.0,True,True,20,yes,validated,RPP25L←RPP25: PaCT Cell Rep 2022; GBM-specific Neuro-Oncology 2022 EXTH-61 (RPP25 promoter methylation),-0.815,-0.161,RPP,RPP
CDS2,CDS1,0.681,-2.314,0.0,True,True,216,yes,validated,CDS2←CDS1: Nature Genetics 2025 (uveal melanoma + pan-cancer); in-vivo + rescue validated,-0.639,-0.213,CDS,CDS
CHMP4B,CRB3,0.563,-1.617,0.0,True,False,186,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.406,-0.638,CHMP,CRB
POP7,RPP25,0.524,-1.336,0.0,True,False,105,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.004,-0.615,POP,RPP
FERMT2,CCDC88C,0.513,-1.354,0.0,True,False,18,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.953,-0.338,FERMT,CCDC
EAF1,EAF2,0.494,-1.488,0.0,True,True,61,yes,screen,"EAF1←EAF2: reported experimentally-verified paralog SL (SL-RFM 2023; grouped with CDK4/6, COPG1/2)",-0.641,-0.239,EAF,EAF
PTK2,PTK2B,0.464,-1.159,7.510000000000001e-43,True,True,21,partial,redundancy,PTK2←PTK2B: FAK/PYK2 functional redundancy documented; FAK is SL with GNAQ (uveal mel); not a crisp PTK2B-low→FAK SL landmark,-0.766,-0.357,PTK,PTK
ITGAV,DAPP1,0.461,-1.316,0.0,True,False,8,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.844,-0.366,ITGAV,DAPP
TLN1,MYB,0.447,-1.123,6.6e-44,True,False,223,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.478,-0.163,TLN,MYB
NCKAP1,WAS,0.437,-0.65,9.301614e-18,True,False,157,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.554,-0.352,NCKAP,WAS
ELMO2,ELMO3,0.422,-1.158,6e-45,True,True,172,yes,validated,ELMO2←ELMO3: Nature Communications 2026 (mesenchymal-like/EGFR-TKI-resistant NSCLC; ZEB1 represses ELMO3),-0.304,0.008,ELMO,ELMO
VRK1,VRK2,0.413,-0.697,1.8499838e-19,True,True,9,yes,validated,VRK1←VRK2: Cancer Res 2022 (Tango/TANDEM); VRK2-methylated GBM; isogenic + in-vivo validated,-0.559,-0.382,VRK,VRK
GPX4,ERBB3,0.41,-0.977,3.9961000000000003e-41,True,False,69,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.041,-0.607,GPX,ERBB
PSMB7,MAP4K1,0.405,-0.57,2.9175596e-13,True,False,196,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.379,-1.217,PSMB,MAP4K
SEPSECS,ERBB3,0.399,-1.052,5.6502199999999996e-39,True,False,81,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.727,-0.314,SEPSECS,ERBB
JUN,TMC6,0.389,-0.875,1.3518647000000001e-27,True,False,3,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.443,-0.205,JUN,TMC
WWTR1,MYB,0.385,-0.974,4.628383e-37,True,False,83,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.443,-0.215,WWTR,MYB
EEFSEC,ERBB3,0.384,-1.0,1.2388543000000002e-38,True,False,84,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.642,-0.352,EEFSEC,ERBB
PSTK,ESRP2,0.376,-0.955,2.681347e-35,True,False,120,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.605,-0.318,PSTK,ESRP
VCL,CCDC88C,0.361,-0.841,2.3059808e-26,True,False,43,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.491,-0.316,VCL,CCDC
RAC1,KIF21B,0.36,-0.725,1.3594537e-22,True,False,86,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.833,-0.62,RAC,KIF
FGFR1,TMC6,0.356,-0.742,5.436926e-19,True,False,11,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.281,-0.032,FGFR,TMC
PRKAR1A,ARHGAP8,0.355,-0.879,2.4112607e-28,True,False,175,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.28,-0.067,PRKAR,ARHGAP
PPP2R1A,CCDC88C,0.354,-0.856,2.0200328e-25,True,False,101,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.065,-0.675,PPP2R,CCDC
TEAD1,MYB,0.353,-0.911,3.284183e-31,True,False,40,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.337,-0.106,TEAD,MYB
WDR77,MTAP,0.344,-0.551,1.5417796e-11,True,False,17,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.497,-1.276,WDR,MTAP
ZFP36L1,EPB41,0.338,-0.824,1.5182852e-29,True,False,259,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.368,-0.114,ZFP36L,EPB
PDCL3,CCDC88C,0.337,-0.871,2.4900136e-28,True,False,24,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.446,-0.316,PDCL,CCDC
CDC42,GPX2,0.337,-0.666,8.2535606e-19,True,False,183,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.14,-0.873,CDC,GPX
ITGB5,DAPP1,0.334,-0.839,3.1634364e-27,True,False,5,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.416,-0.168,ITGB,DAPP
FXN,ARHGAP27,0.332,-0.73,1.8063313e-20,True,False,109,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.754,-0.519,FXN,ARHGAP
GOLT1B,GOLT1A,0.331,-0.7,1.8894363e-20,True,True,100,no,none,GOLT1B←GOLT1A: no SL report found; only prognostic/oncogene studies — candidate NOVEL from this scan,-0.377,-0.235,GOLT,GOLT
CHMP3,CHMP2A,0.33,-0.833,3.2858264e-27,True,True,255,not_true_paralog,none,"CHMP3←CHMP2A: name-root false match — CHMP2A paralog is CHMP2B; CHMP3=Vps24 is a distinct ESCRT-III subunit. Correlation = obligate complex co-membership, not paralog SL; not reported",-0.933,-0.699,CHMP,CHMP
ACTL6A,ACTL6B,0.329,-0.185,0.013163182,False,True,79,,,,-1.601,-1.545,ACTL,ACTL
TUBB,EPCAM,0.325,-0.781,4.732148000000001e-25,True,False,85,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.869,-1.387,TUBB,EPCAM
LMNA,TMC6,0.324,-0.77,2.4017684e-25,True,False,16,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.48,-0.309,LMNA,TMC
GRB2,MARS2,0.322,-0.841,1.2351432000000001e-27,True,False,95,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.1,-0.637,GRB,MARS
C19orf53,COQ8A,0.32,-0.718,4.032651e-20,True,False,32,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.699,-0.492,C19orf,COQ
SRF,IQANK1,0.315,-0.701,4.1687932e-20,True,False,146,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.564,-0.377,SRF,IQANK
KIF2C,CCDC88C,0.31,-0.778,2.1364754999999998e-23,True,False,1,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.391,-0.229,KIF,CCDC
HNRNPH1,ERBB3,0.31,-0.766,1.8473598e-22,True,False,235,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.297,-0.942,HNRNPH,ERBB
C3orf38,CCDC88C,0.306,-0.686,1.0537267e-19,True,False,7,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.441,-0.256,C3orf,CCDC
PPP1R12A,CYFIP2,0.303,-0.671,9.6750133e-20,True,False,261,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-1.392,-1.069,PPP1R,CYFIP
SKA1,MYB,0.301,-0.619,1.6496195e-17,True,False,57,not_assessed,,Non-paralog top partner — likely lineage/co-expression confounder; SL not literature-assessed,-0.655,-0.492,SKA,MYB
GPR61,MYB,0.298,-0.632,2.2007834000000002e-16,False,False,31,,,,-0.48,-0.368,GPR,MYB
SNRPB2,EIF3L,0.295,-0.7,8.526847999999999e-19,False,False,33,,,,-0.884,-0.579,SNRPB,EIF
ACTR3,LRRC8B,0.291,-0.655,8.6341697e-19,False,False,67,,,,-0.64,-0.492,ACTR,LRRC
SGO1,POLR1D,0.289,-0.797,2.3115978e-23,False,False,165,,,,-1.213,-0.978,SGO,POLR
SYS1,LLGL2,0.288,-0.674,9.655871e-19,False,False,80,,,,-1.288,-0.961,SYS,LLGL
EGLN1,CAMSAP3,0.288,-0.714,3.2887121999999997e-19,False,False,13,,,,-0.258,-0.047,EGLN,CAMSAP
LYRM4,FAM83H,0.288,-0.703,8.737104e-20,False,False,52,,,,-1.331,-1.089,LYRM,FAM
FRS2,TMC6,0.284,-0.641,8.649567e-18,False,False,60,,,,-0.337,-0.229,FRS,TMC
NOP56,IL2RG,0.283,-0.541,2.7730316e-13,False,False,260,,,,-1.404,-1.253,NOP,IL2RG
ZNF593,CCDC88C,0.282,-0.657,2.207662e-17,False,False,68,,,,-0.533,-0.404,ZNF,CCDC
KIF18B,CCDC88C,0.28,-0.692,6.384537e-21,False,False,10,,,,-0.593,-0.373,KIF,CCDC
ARFRP1,ESRP1,0.28,-0.658,3.9926094000000004e-21,False,False,221,,,,-0.809,-0.615,ARFRP,ESRP
BRAT1,INTS9,0.279,-0.734,6.586709999999999e-22,False,False,53,,,,-0.51,-0.27,BRAT,INTS
ARF4,STRBP,0.279,-0.564,3.5634283e-18,False,False,202,,,,-0.797,-0.584,ARF,STRBP
NOLC1,CCDC88C,0.278,-0.615,1.4789431e-15,False,False,134,,,,-0.543,-0.424,NOLC,CCDC
MSTO1,BICDL1,0.277,-0.693,1.9908321999999998e-19,False,False,129,,,,-1.049,-0.745,MSTO,BICDL
PTPN11,FCRLA,0.273,-0.217,0.002052171,False,False,72,,,,-0.769,-0.694,PTPN,FCRLA
DPH3,SH2D3A,0.271,-0.656,2.4280495e-18,False,False,125,,,,-0.984,-0.835,DPH,SH2D
CTDNEP1,LRPPRC,0.27,-0.638,3.236113e-16,False,False,36,,,,-0.534,-0.376,CTDNEP,LRPPRC
POLR1G,TMEM238,0.267,-0.647,6.2409490000000004e-18,False,False,46,,,,-0.501,-0.391,POLR,TMEM
NELFCD,CTNND1,0.265,-0.506,2.1497485e-12,False,False,143,,,,-0.676,-0.562,NELFCD,CTNND
ZNHIT3,CCDC88C,0.263,-0.603,1.9006367e-14,False,False,161,,,,-0.605,-0.435,ZNHIT,CCDC
EXT1,NRROS,0.262,-0.56,3.537979e-14,False,False,29,,,,-0.365,-0.224,EXT,NRROS
DSCC1,MAPK13,0.262,-0.695,1.2928904e-19,False,False,35,,,,-0.319,-0.114,DSCC,MAPK
UFM1,BCL7A,0.261,-0.611,2.880761e-16,False,False,206,,,,-0.594,-0.379,UFM,BCL
UBA5,ARHGAP19,0.261,-0.583,5.261015e-14,False,False,90,,,,-0.609,-0.428,UBA,ARHGAP
NHLRC2,SYTL1,0.26,-0.644,1.3903282000000002e-16,False,False,139,,,,-0.764,-0.471,NHLRC,SYTL
E2F3,RB1,0.26,-0.402,5.6416854e-07,False,False,22,,,,-0.308,-0.188,E2F,RB
INTS12,CCDC88C,0.258,-0.62,2.3148934e-16,False,False,37,,,,-0.565,-0.398,INTS,CCDC
C19orf25,L2HGDH,0.256,-0.661,2.7878157e-17,False,False,122,,,,-0.307,-0.151,C19orf,L2HGDH
BRCA1,WAS,0.256,-0.27,0.00011751105,False,False,27,,,,-0.465,-0.398,BRCA,WAS
PDCD2,KLRG2,0.254,-0.437,1.6384282e-09,False,False,199,,,,-1.279,-1.06,PDCD,KLRG
ARPC2,KCNJ11,0.253,-0.537,4.8222067e-14,False,False,238,,,,-0.579,-0.479,ARPC,KCNJ
KIF18A,ATP2A3,0.252,-0.553,1.3844524e-14,False,False,14,,,,-1.458,-1.105,KIF,ATP2A
