gene,sl_genotype_max_effect_size,sl_best_context,sl_fdr,sl_n_contexts,sl_all_contexts,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner
PRKAR1A,0.0,,1.0,0,,,False,
LMNA,0.3666293648499845,MTAP_del,0.0462627880169118,3,MTAP_del;CDKN2B_del;CDKN2A_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B
RPP25L,0.3609429968069141,PTEN_loss,0.0147711064589908,1,PTEN_loss,TSG-loss,True,PTEN
JUN,0.3268980228784999,MTAP_del,0.0092693843535085,1,MTAP_del,passenger-del(PRMT5-axis),False,
VRK1,0.0,,1.0,0,,,False,
CTDNEP1,0.4478404693116825,PTEN_loss,0.0094779050947152,1,PTEN_loss,TSG-loss,True,PTEN
FERMT2,0.374658117909724,PTEN_loss,0.0445264990454598,1,PTEN_loss,TSG-loss,True,PTEN
MET,0.0,,1.0,0,,,False,
ITGAV,0.4027746875171157,MTAP_del,7.958850784904015e-05,3,MTAP_del;CDKN2A_del;CDKN2B_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B
CHMP4B,0.0,,1.0,0,,,False,
C3orf38,0.6711026799466343,PDGFRA_amp,0.0374075638708282,4,PDGFRA_amp;CDKN2A_del;MTAP_del;CDKN2B_del,oncogene-amp,True,CDKN2A;CDKN2B
SPCS3,0.0,,1.0,0,,,False,
VCL,0.37426361529629,CDKN2B_del,7.476863407521406e-06,3,CDKN2B_del;CDKN2A_del;MTAP_del,TSG-loss,True,CDKN2A;CDKN2B
ITGB5,0.4935146257424675,MTAP_del,4.860869165690634e-06,3,MTAP_del;NF1_loss;CDKN2B_del,passenger-del(PRMT5-axis),True,CDKN2B;NF1
SURF4,0.0,,1.0,0,,,False,
PDGFRA,0.0,,1.0,0,,,False,
NOLC1,0.0,,1.0,0,,,False,
GPX4,0.0,,1.0,0,,,False,
KIF18B,0.3250894726753285,CDKN2A_del,0.0023338506823365,2,CDKN2A_del;CDKN2B_del,TSG-loss,True,CDKN2A;CDKN2B
TRAPPC13,0.0,,1.0,0,,,False,
PTK2,0.3184972111605185,CDKN2A_del,4.966589902701911e-05,2,CDKN2A_del;CDKN2B_del,TSG-loss,True,CDKN2A;CDKN2B
UBC,0.3838881286562446,TP53_mut,0.0445264990454598,1,TP53_mut,TSG-loss,True,TP53
RPL10A,0.0,,1.0,0,,,False,
FGFR1,0.0,,1.0,0,,,False,
SPOUT1,0.0,,1.0,0,,,False,
BCCIP,0.0,,1.0,0,,,False,
POLR1H,0.0,,1.0,0,,,False,
EAF1,0.0,,1.0,0,,,False,
NHLRC2,0.0,,1.0,0,,,False,
FRS2,0.0,,1.0,0,,,False,
CCT6A,0.0,,1.0,0,,,False,
ALG1,0.0,,1.0,0,,,False,
CDC25B,0.0,,1.0,0,,,False,
TIMM9,0.0,,1.0,0,,,False,
KLF16,0.0,,1.0,0,,,False,
KIF2C,0.4630924592987127,CDKN2A_del,7.892959187486566e-08,3,CDKN2A_del;CDKN2B_del;MTAP_del,TSG-loss,True,CDKN2A;CDKN2B
GOLT1B,0.0,,1.0,0,,,False,
TCP1,0.0,,1.0,0,,,False,
PSMG4,0.0,,1.0,0,,,False,
PDCL3,0.0,,1.0,0,,,False,
BRAT1,0.0,,1.0,0,,,False,
FAM50A,0.0,,1.0,0,,,False,
HAUS3,0.0,,1.0,0,,,False,
KIF18A,0.0,,1.0,0,,,False,
SYS1,0.0,,1.0,0,,,False,
POP7,0.0,,1.0,0,,,False,
SNRPB2,0.3234092958090481,TP53_mut,0.0002057068662931,1,TP53_mut,TSG-loss,True,TP53
