,sc_malignant_mean,sc_tme_max_mean,sc_tme_max_type,sc_tme_mean,sc_pct_malignant_expressing,sc_malignant_specificity,sc_tme_dominated_flag,sc_neoplastic_mean,sc_nonneoplastic_mean,sc_malignant_vs_tme_collapsed,sc_measured
PRKAR1A,0.3825321145028923,0.9510136763703168,mural cell,0.3612445848832971,0.5101355855114059,-0.5684815618674244,True,0.3825320819505607,0.317189345604702,0.06534273634585869,True
LMNA,0.42773149227144547,0.7785104339986998,mural cell,0.2618558258764576,0.4895272151253519,-0.3507789417272543,True,0.4277309628926814,0.219112602209991,0.20861836068269043,True
RPP25L,0.08539346974624121,0.11546752407833652,radial glial cell,0.06844786522073325,0.17404976435253802,-0.030074054332095312,False,0.0853935667899936,0.06516667379118977,0.020226892998803828,True
JUN,1.58097242902,1.597595131293553,microglial cell,1.0922012777910723,0.8292281271320018,-0.016622702273553003,False,1.5809718546249378,1.385335707929634,0.19563614669530383,True
VRK1,0.071376869263736,0.2826866068617492,radial glial cell,0.0735384163947404,0.1367304208718564,-0.2113097375980132,False,0.07137690516366109,0.05404475679668398,0.017332148366977107,True
CTDNEP1,0.22447358042462356,0.3059090405167973,monocyte,0.17252360953993837,0.3580586726892041,-0.08143546009217373,False,0.22447336050147498,0.17150954186885567,0.052963818632619314,True
FERMT2,0.26622500562625595,0.44134199621394926,mural cell,0.07801367929188563,0.3898965660557869,-0.1751169905876933,False,0.2662249357465278,0.02525031741217426,0.24097461833435352,True
MET,0.016450479867255095,0.02555455409623751,oligodendrocyte,0.003415976190873826,0.031516377694654214,-0.009104074228982417,False,0.016450476664558865,0.002652154523591795,0.01379832214096707,True
ITGAV,0.23246043192571972,0.5546314545679832,mural cell,0.17267239110626573,0.35450631660667653,-0.3221710226422635,True,0.23246048983226242,0.2153250040933231,0.017135485738939304,True
CHMP4B,0.3139561145275214,0.36096160477408235,mural cell,0.2377958980359983,0.4315681338759891,-0.04700549024656092,False,0.3139557049338966,0.267692072638929,0.04626363229496755,True
C3orf38,0.10292376997763997,0.10929138624442869,microglial cell,0.0826153295678242,0.20126096878161245,-0.006367616266788723,False,0.10292374126134571,0.0893715249556296,0.013552216305716111,True
SPCS3,0.2026863583578302,0.7888027397277472,plasma cell,0.32172324696167287,0.33784239458598975,-0.586116381369917,True,0.20268635979371502,0.288700494713681,-0.08601413491996596,True
VCL,0.07287730892292693,0.4681953677463599,mural cell,0.0889004045013818,0.14022004218912965,-0.39531805882343296,True,0.07287733177836188,0.04325128288151733,0.029626048896844545,True
ITGB5,0.03441900052597341,0.15005355547950702,mural cell,0.04196139767027438,0.07539150414441544,-0.11563455495353361,False,0.03441901010040855,0.055046308810124706,-0.020627298709716156,True
SURF4,0.23788603016650386,0.3410944202638984,mural cell,0.19657731430368564,0.37290328651751475,-0.10320839009739455,False,0.23788620150327364,0.20031408989925928,0.03757211160401436,True
PDGFRA,0.3610676309037116,0.052182389678084126,mural cell,0.015404520741767541,0.296915802103183,0.30888524122562744,False,0.36106853730600724,0.016149867280991433,0.3449186700250158,True
NOLC1,0.10098611181949592,0.15637328813039028,mural cell,0.09126177775811682,0.2019588930450671,-0.05538717631089436,False,0.10098613814311622,0.08371273886756786,0.017273399275548357,True
GPX4,1.0274956953957337,1.1163420124704722,monocyte,0.7743037923904605,0.7947396899334227,-0.08884631707473845,False,1.0274956150123584,0.9219883993020676,0.10550721571029087,True
KIF18B,0.024039095995835088,0.02167165201086993,radial glial cell,0.006177095917959186,0.07793226213721662,0.0023674439849651584,False,0.024039095995835088,0.004466978875046509,0.01957211712078858,True
TRAPPC13,0.07172509959292957,0.07053956978978776,oligodendrocyte,0.039741291832831226,0.15042228338861835,0.0011855298031418077,False,0.07172515750882048,0.03806376875548059,0.03366138875333989,True
PTK2,0.15072554518213785,0.5645948750746765,oligodendrocyte,0.10977157976010855,0.27278644301722854,-0.41386932989253866,True,0.150725519336211,0.06152148350766759,0.08920403582854342,True
UBC,1.9149531758419296,2.103224928292888,mature T cell,1.8034526325286757,0.9401980850212907,-0.18827175245095829,False,1.9149492303146163,1.9456763828194965,-0.03072715250488023,True
RPL10A,1.5675340224572143,2.8381364252090453,B cell,1.9303141627458802,0.8867088557963002,-1.270602402751831,True,1.5675342722936951,1.8765247466600408,-0.30899047436634564,True
FGFR1,0.1930029452224043,0.17108799213817535,endothelial cell,0.040073846536463974,0.30291481403063025,0.021914953084228944,False,0.1930031031698519,0.02789915660388319,0.1651039465659687,True
SPOUT1,0.08247993750559529,0.07208413851030869,endothelial cell,0.04491850459899138,0.17795500348962132,0.010395798995286601,False,0.0824799232659367,0.0437862751440909,0.0386936481218458,True
BCCIP,0.117501133009189,0.16652721874243345,radial glial cell,0.10709429695979185,0.21983830114255692,-0.04902608573324445,False,0.11750110633033678,0.0980539524208892,0.01944715390944758,True
POLR1H,0.14049306320404287,0.25647305850795293,mature T cell,0.13366722602553036,0.2532837728687824,-0.11597999530391007,False,0.1404930605828052,0.13685773459590803,0.00363532598689717,True
EAF1,0.08904686433379881,0.13018711746221187,monocyte,0.06408270823934979,0.1749515766030693,-0.04114025312841306,False,0.08904691267525458,0.07279248504516482,0.01625442763008976,True
NHLRC2,0.039949607325527936,0.07948617878498684,endothelial cell,0.04267998916523668,0.0938433669748512,-0.03953657145945891,False,0.03994960840244156,0.03877187322102864,0.0011777351814129186,True
FRS2,0.07497084725110731,0.08393627800111271,oligodendrocyte,0.029790899442167725,0.15069674798660612,-0.008965430750005401,False,0.0749708407903267,0.030541954966532666,0.044428885823794034,True
CCT6A,0.8335029595622953,0.5781424108614202,mural cell,0.323334061991064,0.6951404082464849,0.2553605487008751,False,0.8335021889988172,0.30780910540150586,0.5256930835973114,True
ALG1,0.051783970408816146,0.05680090062877187,mural cell,0.036085715896086376,0.13550709294939656,-0.005016930219955723,False,0.05178400511123572,0.041439857554669696,0.010344147556566027,True
