gene,gtex_max_tpm,gtex_median_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,gtex_brain_mean,gtex_nonbrain_max
AASDHPPT,82.9852,22.43795,Brain_Cerebellar_Hemisphere,19.0969,82.9852,43.69841538461538,41.797
ACTL6A,74.5236,24.663649999999997,Testis,26.3973,17.0924,6.691563076923076,74.5236
ACTR3,167.56900000000002,40.880399999999995,Cells_EBV-transformed_lymphocytes,59.6546,30.6152,21.079807692307693,167.56900000000002
AK6,43.8401,20.511850000000003,Cells_EBV-transformed_lymphocytes,28.2868,27.0199,18.722423076923075,43.8401
ALDOA,3137.24,443.48350000000005,Muscle_Skeletal,848.797,683.003,418.8854615384616,3137.24
ALG1,30.6562,8.908595,Cells_Cultured_fibroblasts,10.2101,8.80251,5.341764615384615,30.6562
ALG2,46.5278,18.7894,Cells_Cultured_fibroblasts,29.590999999999998,20.0107,9.993346153846154,46.5278
AMY2A,3314.99,0.3324145,Pancreas,0.5311170000000001,2.32235,0.7858402307692308,3314.99
ANAPC4,55.4366,28.9882,Fallopian_Tube,33.5671,37.3269,17.760784615384615,55.4366
ARF4,433.202,110.724,Cells_Cultured_fibroblasts,186.22099999999998,77.1945,55.90287692307693,433.202
ARFRP1,42.2929,26.22325,Cervix_Endocervix,32.1765,35.2756,20.97023846153846,42.2929
ARHGAP11A,34.8026,0.912633,Cells_EBV-transformed_lymphocytes,1.6558099999999998,4.02806,0.9441457692307692,34.8026
ARMC5,21.1335,10.094,Thyroid,12.1316,19.0529,9.216733846153847,21.1335
ARPC2,374.31,113.999,Cells_EBV-transformed_lymphocytes,220.324,72.0917,55.874623076923086,374.31
BARD1,17.3228,2.96525,Cells_EBV-transformed_lymphocytes,4.35001,2.48902,0.9535451538461538,17.3228
BCCIP,40.4047,17.67025,Cells_EBV-transformed_lymphocytes,21.835,25.5144,14.10976923076923,40.4047
BRAT1,94.609,38.39805,Testis,39.7109,72.6772,28.006823076923077,94.609
BRCA1,19.7684,1.3486500000000001,Cells_EBV-transformed_lymphocytes,1.74144,2.37106,1.0420967692307692,19.7684
C19orf25,22.0474,11.55565,Brain_Cerebellum,16.0265,22.0474,14.234621538461539,20.3093
C19orf53,192.66,95.76599999999999,Cells_Cultured_fibroblasts,108.411,94.7882,82.74758461538462,192.66
C3orf38,30.9532,7.06684,Testis,8.918560000000001,7.437180000000001,5.018433076923078,30.9532
CCDC59,47.5652,19.119999999999997,Cells_EBV-transformed_lymphocytes,23.0528,20.1413,11.50757076923077,47.5652
CCNK,31.1334,8.84485,Cells_EBV-transformed_lymphocytes,13.2941,7.78675,3.7872384615384616,31.1334
CCT3,238.717,96.09275,Cells_EBV-transformed_lymphocytes,88.7915,122.78200000000001,68.13056153846155,238.717
CCT4,270.731,93.10759999999999,Cells_EBV-transformed_lymphocytes,95.2102,123.665,62.99779999999999,270.731
CCT6A,248.855,96.4965,Cells_EBV-transformed_lymphocytes,96.8687,125.139,64.70525384615385,248.855
CCT8,370.219,84.4731,Cells_EBV-transformed_lymphocytes,100.661,116.71,54.083592307692314,370.219
CDC25B,143.63299999999998,38.0072,Brain_Cerebellum,130.19799999999998,143.63299999999998,40.85990769230769,130.19799999999998
CDC42,227.04,101.3925,Cells_EBV-transformed_lymphocytes,134.605,107.04,61.70597692307693,227.04
CDK2,64.4682,16.6147,Cells_EBV-transformed_lymphocytes,33.5253,3.33791,2.08968,64.4682
CDK5RAP3,291.385,95.2332,Pituitary,131.917,208.863,78.51916923076922,291.385
CDK7,50.2068,16.92165,Testis,20.4827,16.4843,11.536893076923075,50.2068
CDS2,56.8675,16.5494,Brain_Cerebellar_Hemisphere,20.6015,56.8675,24.98246153846154,39.7505
CHMP2A,155.27700000000002,103.7045,Whole_Blood,116.975,101.59299999999999,78.70492307692308,155.27700000000002
CHMP3,72.3265,32.13555,Esophagus_Muscularis,43.2211,48.9133,24.162961538461538,72.3265
CHMP4B,334.845,177.8625,Artery_Tibial,199.926,226.93099999999998,146.99753846153845,334.845
CHMP7,49.391000000000005,23.10905,Spleen,27.2616,34.0546,17.10690769230769,49.391000000000005
CIR1,57.7703,38.76975,Cervix_Endocervix,43.2031,46.2492,28.003746153846148,57.7703
CLCC1,35.8898,19.5572,Uterus,23.7936,19.857,13.043755384615384,35.8898
CLNS1A,65.4102,26.7196,Cells_EBV-transformed_lymphocytes,24.3317,38.4877,25.914538461538463,65.4102
COPA,263.279,81.00280000000001,Cells_Cultured_fibroblasts,113.557,124.48,63.12147692307693,263.279
CSE1L,128.275,34.7269,Testis,36.099000000000004,53.9961,26.528799999999997,128.275
CSH2,1.6646299999999998,0.0,Testis,0.0,0.166116,0.02437823076923077,1.6646299999999998
CTDNEP1,266.568,130.07999999999998,Muscle_Skeletal,162.372,128.875,83.01854615384617,266.568
CYFIP1,69.2794,32.1351,Artery_Aorta,57.4526,17.0979,12.829201538461538,69.2794
DCTN5,33.3291,17.701700000000002,Cells_EBV-transformed_lymphocytes,17.2896,26.7202,19.345761538461538,33.3291
DDX10,13.2914,5.47377,Testis,5.4404900000000005,8.2104,3.924953846153846,13.2914
DDX51,48.1957,19.24295,Brain_Cerebellum,19.8121,48.1957,18.962086153846155,37.9256
DDX55,31.2359,15.78545,Cells_EBV-transformed_lymphocytes,17.3114,27.6176,10.78811153846154,31.2359
DHX33,29.0038,10.394449999999999,Cells_EBV-transformed_lymphocytes,10.7487,17.7512,7.59611,29.0038
DNAJA3,65.0184,32.98335,Cells_EBV-transformed_lymphocytes,39.7835,45.144,23.868769230769228,65.0184
DPH3,27.5831,13.5598,Cells_Cultured_fibroblasts,18.6618,17.4471,11.924213076923078,27.5831
DSCC1,18.6422,2.521515,Cells_EBV-transformed_lymphocytes,2.17418,7.522139999999999,2.3617684615384613,18.6422
E2F3,16.6518,5.162100000000001,Cells_EBV-transformed_lymphocytes,9.449860000000001,7.71548,4.327622307692308,16.6518
EAF1,24.3882,13.14095,Cells_EBV-transformed_lymphocytes,17.706,24.0478,13.21651,24.3882
EEFSEC,50.0323,19.447200000000002,Testis,22.1513,24.0772,11.954166923076922,50.0323
EGLN1,155.851,20.2942,Muscle_Skeletal,19.7247,29.5459,19.673115384615386,155.851
EIF3B,203.872,98.72175,Cells_Cultured_fibroblasts,98.4603,80.9414,44.24702307692308,203.872
EIF3E,368.64,125.75800000000001,Ovary,138.205,129.804,53.52943846153846,368.64
EIF3M,90.071,29.09165,Cells_EBV-transformed_lymphocytes,30.5942,28.0406,16.078476923076924,90.071
ELAC2,68.6057,42.8475,Cells_EBV-transformed_lymphocytes,40.7979,41.9903,25.47676923076923,68.6057
ELAVL1,55.4733,24.456450000000004,Cells_EBV-transformed_lymphocytes,27.4395,34.0109,15.61953076923077,55.4733
ELMO2,83.1176,22.554650000000002,Brain_Cerebellum,31.4662,83.1176,31.22955384615384,43.8431
EPRS1,176.63299999999998,37.53735,Cells_Cultured_fibroblasts,38.0786,52.593,26.455315384615382,176.63299999999998
ERCC6L,9.31565,0.240547,Cells_EBV-transformed_lymphocytes,0.341541,0.453913,0.11172163846153847,9.31565
EXT1,72.1908,9.224605,Artery_Aorta,23.8198,4.964980000000001,2.605918461538461,72.1908
FAM50A,143.86700000000002,80.6608,Pituitary,123.15799999999999,131.86700000000002,66.07271538461538,143.86700000000002
FARSA,109.848,38.4554,Cells_EBV-transformed_lymphocytes,38.113,72.7239,43.74197692307692,109.848
FERMT2,237.733,28.36905,Artery_Tibial,88.8402,29.2531,23.177784615384613,237.733
FGFR1,144.816,38.346450000000004,Artery_Aorta,60.3967,121.999,32.249561538461535,144.816
FOXK1,23.9665,10.077200000000001,Uterus,13.7433,13.7787,8.01802846153846,23.9665
FOXO3,71.8138,26.70595,Artery_Tibial,51.7583,62.285,18.08887,71.8138
FRS2,18.1879,8.157675000000001,Nerve_Tibial,9.291910000000001,15.1507,8.306793076923078,18.1879
FXN,12.4908,5.62656,Ovary,8.229389999999999,4.91148,3.7285938461538466,12.4908
GGPS1,33.3609,14.6023,Testis,16.2817,17.6648,12.139610769230769,33.3609
GOLT1B,62.9218,20.462200000000003,Cells_Cultured_fibroblasts,34.5088,45.3241,19.9966,62.9218
GPN1,57.7581,28.99485,Cells_EBV-transformed_lymphocytes,32.4083,33.4676,18.58990769230769,57.7581
GPR61,8.052660000000001,0.22226300000000002,Pituitary,0.391917,6.24385,2.6935317692307694,8.052660000000001
GPX4,1682.13,219.45850000000002,Testis,273.732,260.978,214.62076923076927,1682.13
GRB2,186.054,60.9239,Cells_EBV-transformed_lymphocytes,88.3493,98.5342,60.782446153846145,186.054
H3C8,14.9721,1.035045,Whole_Blood,4.70653,0.573782,0.17522646923076926,14.9721
HAUS1,48.3763,12.43395,Cells_EBV-transformed_lymphocytes,14.7975,9.61074,5.559696923076923,48.3763
HAUS2,26.9355,8.027305,Cells_EBV-transformed_lymphocytes,11.0769,10.6791,6.477693076923078,26.9355
HAUS3,10.6473,5.9613,Cells_EBV-transformed_lymphocytes,7.78107,9.67628,3.5996423076923083,10.6473
HAUS4,92.9507,40.38635,Ovary,58.3155,25.1228,14.664482307692309,92.9507
HAUS5,37.0641,9.599025000000001,Ovary,12.5548,30.9414,8.684350769230768,37.0641
