gene,lake_neuron_max,lake_neuron_mean,lake_brain_max,lake_measured
PRKAR1A,0.43708514111419183,0.34792017979862033,0.43708514111419183,True
LMNA,0.07475331757852019,0.04681991653975219,0.4924782128978627,True
RPP25L,0.01668399877765615,0.012493807454170966,0.022287603858363248,True
JUN,0.10420288377204127,0.07084182380186431,0.7483890266751771,True
VRK1,0.11157020792973577,0.08523121100411654,0.11157020792973577,True
CTDNEP1,0.002627340731658051,0.0014996912723374727,0.015084627030061921,True
FERMT2,0.06913485178646123,0.06006714445665455,0.3350896758316078,True
MET,0.2388796593624181,0.0686094541473756,0.2388796593624181,True
ITGAV,0.2894833904505886,0.14616983793094568,0.45323506763906346,True
CHMP4B,0.18876426316900738,0.12987057730575718,0.21742488436030805,True
C3orf38,0.06759892920606479,0.05921948066050177,0.08343379638023068,True
SPCS3,0.13936562786718956,0.10923976685240717,0.13936562786718956,True
VCL,0.20187283713685542,0.1368874296815532,0.6345796285336369,True
ITGB5,0.08471739209831629,0.05006247392459656,0.42468285462034144,True
SURF4,0.0940618465150331,0.06531788349420524,0.0940618465150331,True
PDGFRA,0.024637497537614666,0.010481587865066618,0.5348568462496812,True
NOLC1,0.12601736311166112,0.09404206094715202,0.23921861625135507,True
GPX4,0.2819656609167336,0.21998168762172807,0.2819656609167336,True
KIF18B,0.0028289601612464183,0.0014133362368504213,0.03404119042326304,True
TRAPPC13,0.16243983460804895,0.12909132207115834,0.17966750239414322,True
PTK2,1.1224633151298726,0.8114625146215243,1.1701882695639967,True
UBC,0.37228382120309433,0.32237874675435496,0.7319908864191497,True
RPL10A,0.20668649390043933,0.1644256512730173,0.24547467425057864,True
FGFR1,0.3496192383536923,0.13317597316783866,0.5207779272256534,True
SPOUT1,,,,False
BCCIP,0.13192750345627707,0.11307701829688552,0.16376729437621018,True
POLR1H,,,,False
EAF1,0.05981496907918025,0.04962132024931591,0.05981496907918025,True
NHLRC2,0.2510517424730271,0.18212256455671313,0.2834159515031909,True
FRS2,0.22281074713969096,0.18283708206331606,0.2871662149306514,True
CCT6A,0.19587063249399178,0.16719723155771313,0.24801687989049478,True
ALG1,0.0743940001972073,0.05456923107377445,0.08081091432170484,True
CDC25B,0.2170127009193319,0.19816580887419566,0.2170127009193319,True
TIMM9,0.06850224368485994,0.04777458491042423,0.0994688614369905,True
KLF16,0.029051917238801957,0.021416306838117637,0.041275290383841146,True
