gene,archetype,glioma_dep_fraction,min_subgroup_n,sl_n_contexts,sc_compartment,sc_specificity_tier,sc_malignant_mean,sc_malignant_specificity,sc_tme_dominated_flag,gtex_max_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,lake_neuron_max,lake_brain_max,gbmap_normal_brain_max,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,safety_body_wide,safety_composite,cns_high_risk,vital_high_risk
PRKAR1A,pan-glioma-dep,0.5555555555555556,40,0,TME-dominated,TME-dominated,0.3825321145028923,-0.5684815618674244,True,152.64700000000002,Artery_Tibial,121.219,126.19,0.4370851411141918,0.4370851411141918,0.9591049606149848,0.1590106007067138,0.13427561837455826,0.028268551236749095,0.26501766784452296,0.10718492343934038,True,False
LMNA,pan-glioma-dep,0.5972222222222222,43,3,TME-dominated,TME-dominated,0.4277314922714454,-0.3507789417272543,True,392.66,Cells_Cultured_fibroblasts,158.442,24.7087,0.0747533175785201,0.4924782128978627,0.7198863384882406,0.12720848056537104,0.6007067137809188,0.6607773851590106,0.09187279151943462,0.4628975265017668,False,False
RPP25L,pan-glioma-dep,0.7916666666666666,57,1,tumor-cell-expressed,not-TME-dominated-weak,0.0853934697462412,-0.0300740543320953,False,66.3498,Muscle_Skeletal,29.8932,27.6346,0.0166839987776561,0.0222876038583632,0.116698273344536,0.5123674911660777,0.5441696113074205,0.9151943462897526,0.5159010600706714,0.6572438162544169,False,False
JUN,pan-glioma-dep,0.5555555555555556,40,1,tumor-cell-expressed,not-TME-dominated-weak,1.58097242902,-0.016622702273553,False,528.967,Adipose_Visceral_Omentum,333.653,97.6156,0.1042028837720412,0.7483890266751771,1.3352413494974154,0.060070671378091856,0.1872791519434629,0.5512367491166077,0.07067137809187274,0.26619552414605413,False,True
VRK1,pan-glioma-dep,0.8055555555555556,58,0,tumor-cell-expressed,not-TME-dominated-weak,0.071376869263736,-0.2113097375980132,False,60.6354,Cells_EBV-transformed_lymphocytes,6.39475,8.48532,0.1115702079297357,0.1115702079297357,0.2826866068617492,0.8975265017667844,0.8303886925795053,0.46289752650176674,0.5512367491166077,0.730270906949352,False,False
CTDNEP1,pan-glioma-dep,0.75,54,1,tumor-cell-expressed,not-TME-dominated-weak,0.2244735804246235,-0.0814354600921737,False,266.568,Muscle_Skeletal,162.372,128.875,0.002627340731658,0.0150846270300619,0.2487984529701852,0.12014134275618371,0.1307420494699647,0.9611307420494699,0.1590106007067138,0.4040047114252061,False,False
FERMT2,pan-glioma-dep,0.875,63,1,tumor-cell-expressed,not-TME-dominated-weak,0.2662250056262559,-0.1751169905876933,False,237.733,Artery_Tibial,88.8402,29.2531,0.0691348517864612,0.3350896758316078,0.4292478175521586,0.21201413427561833,0.5229681978798586,0.6961130742049471,0.17314487632508835,0.47703180212014135,False,False
MET,subset-dep,0.2222222222222222,16,0,tumor-cell-expressed,not-TME-dominated-weak,0.016450479867255,-0.0091040742289824,False,21.256,Nerve_Tibial,12.8225,3.41205,0.2388796593624181,0.2388796593624181,0.0705509483814239,0.7809187279151943,0.9187279151943463,0.16607773851590102,0.8798586572438163,0.6219081272084805,False,False
ITGAV,pan-glioma-dep,0.9166666666666666,66,3,TME-dominated,TME-dominated,0.2324604319257197,-0.3221710226422635,True,99.2809,Artery_Aorta,46.6061,45.2411,0.2894833904505886,0.4532350676390634,0.6458929212107135,0.3462897526501767,0.3816254416961131,0.10954063604240283,0.36749116607773846,0.27915194346289757,False,False
CHMP4B,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.3139561145275214,-0.0470054902465609,False,334.845,Artery_Tibial,199.926,226.931,0.1887642631690073,0.217424884360308,0.343376789353958,0.10954063604240283,0.06360424028268552,0.2508833922261484,0.12014134275618371,0.1413427561837456,True,False
C3orf38,pan-glioma-dep,0.5555555555555556,40,4,tumor-cell-expressed,not-TME-dominated-weak,0.1029237699776399,-0.0063676162667887,False,30.9532,Testis,8.918560000000001,7.437180000000001,0.0675989292060647,0.0834337963802306,0.1240642387742941,0.8586572438162544,0.8657243816254416,0.7137809187279152,0.7879858657243817,0.812720848056537,False,False
SPCS3,pan-glioma-dep,1.0,72,0,TME-dominated,TME-dominated,0.2026863583578302,-0.586116381369917,True,106.043,Cells_Cultured_fibroblasts,70.5531,43.4749,0.1393656278671895,0.1393656278671895,0.2536357082280294,0.2544169611307421,0.39575971731448767,0.36042402826855124,0.3533568904593639,0.336866902237927,False,False
VCL,pan-glioma-dep,0.5555555555555556,40,3,TME-dominated,TME-dominated,0.0728773089229269,-0.3953180588234329,True,319.41,Artery_Tibial,103.326,16.0323,0.2018728371368554,0.6345796285336369,0.1449812776436006,0.176678445229682,0.7455830388692579,0.215547703180212,0.1307420494699647,0.3792697290930507,False,False
ITGB5,pan-glioma-dep,0.4583333333333333,33,3,tumor-cell-expressed,not-TME-dominated-weak,0.0344190005259734,-0.1156345549535336,False,424.3169999999999,Artery_Aorta,79.2566,19.8872,0.0847173920983162,0.4246828546203414,0.2061574658906528,0.2332155477031802,0.6749116607773852,0.6113074204946997,0.08833922261484095,0.5064782096584217,False,False
SURF4,subset-dep,0.2916666666666667,21,0,tumor-cell-expressed,not-TME-dominated-weak,0.2378860301665038,-0.1032083900973945,False,381.739,Cells_Cultured_fibroblasts,152.471,50.928999999999995,0.0940618465150331,0.0940618465150331,0.3997840011312115,0.1307420494699647,0.33922261484098937,0.5830388692579505,0.09540636042402828,0.3510011778563015,False,False
PDGFRA,subset-dep,0.2638888888888889,19,0,tumor-cell-expressed,confirmed-malignant-enriched,0.3610676309037116,0.3088852412256274,False,217.526,Ovary,60.9157,16.7691,0.0246374975376146,0.5348568462496812,1.6162263121335738,0.27561837455830385,0.7314487632508834,0.8798586572438163,0.19434628975265023,0.6289752650176679,False,False
NOLC1,pan-glioma-dep,0.75,54,0,tumor-cell-expressed,not-TME-dominated-weak,0.1009861118194959,-0.0553871763108943,False,138.455,Cells_EBV-transformed_lymphocytes,49.2278,81.1708,0.1260173631116611,0.239218616251355,0.3763240823014216,0.3356890459363958,0.22261484098939932,0.4028268551236749,0.28621908127208484,0.32037691401649,False,False
GPX4,pan-glioma-dep,0.8888888888888888,64,0,tumor-cell-expressed,not-TME-dominated-weak,1.0274956953957337,-0.0888463170747384,False,1682.13,Testis,273.732,260.978,0.2819656609167336,0.2819656609167336,1.031909424337322,0.0742049469964664,0.05300353356890464,0.1413427561837456,0.021201413427561877,0.08951707891637221,True,True
