,tcga_gbm_median_log2tpm,gtex_brain_median_log2tpm,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_vs_normal_p,tcga_vs_normal_fdr
SEPSECS,1.8282,0.5907,1.2375,0.8627450980392157,9.793676288325923e-43,1.583777365483564e-42
SPCS2,7.9739,6.3206,1.6533000000000007,0.9934640522875817,1.8229655872652375e-86,2.7152592694529585e-85
PES1,5.6358,4.265,1.3708,0.954248366013072,2.329696743977747e-76,8.34562251323674e-76
MZT2A,6.1849,6.3051,-0.12020000000000053,0.1437908496732026,0.06643489705555301,0.06836754860626001
ALDOA,10.6913,9.974,0.7172999999999998,0.6928104575163399,2.749065901123248e-32,3.9491657361313666e-32
HAUS5,3.5199,2.40765,1.11225,0.6862745098039216,3.40624256230123e-21,4.2094613324508644e-21
CDS2,4.8213,3.97505,0.84625,0.7189542483660131,6.093920769674193e-32,8.666229034260284e-32
KLF16,3.5547,3.6248,-0.07010000000000005,0.05228758169934641,0.026158274123378636,0.027216145503368216
PPP1R12A,3.9242,3.28995,0.6342499999999998,0.5359477124183006,1.172072431885872e-16,1.3995632836443115e-16
LONP1,5.825,5.11585,0.7091500000000002,0.7254901960784313,9.214221411450623e-31,1.2973257012141922e-30
C19orf53,7.7741,6.45345,1.3206499999999997,0.9869281045751634,1.1569959400019953e-82,7.118040239577493e-82
SKA1,1.8404,-3.816,5.6564,0.9934640522875817,4.890850338725347e-86,6.591003075520348e-85
SRF,3.8915,3.50285,0.38865000000000016,0.43137254901960786,5.34449822856438e-10,6.025868520652269e-10
PSMB4,8.563,7.2301,1.3329000000000004,0.9869281045751634,5.548621436263837e-83,3.738713967768252e-82
NHLRC2,1.3679,1.0880999999999998,0.27980000000000005,0.24183006535947713,0.0015562008529615722,0.0016556572984515975
CDC42,7.7271,6.0443999999999996,1.6827000000000005,0.9869281045751634,2.7364977717059554e-81,1.4341275359125656e-80
TAF1C,4.5098,4.5826,-0.07279999999999998,0.1830065359477124,0.08373345646730969,0.08585713108785739
MMS19,4.6041,4.96585,-0.3617499999999998,0.0196078431372549,3.474065263222956e-12,3.996587274358116e-12
AMY2A,-4.2934,0.8961,-5.1895,0.0,1.2302920093030765e-76,4.463751777343213e-76
DCTN5,5.2103,3.4752,1.7351,0.9738562091503268,7.733202407751415e-81,3.908029073917233e-80
RPL26L1,6.2242,4.30095,1.9232499999999995,0.9934640522875817,1.1836248269409926e-87,3.8949636411663364e-86
NOC4L,4.1628,3.4297500000000003,0.7330499999999995,0.6928104575163399,4.638655058023045e-29,6.372521269031659e-29
GOLT1B,4.7148,3.70775,1.0070500000000004,0.8235294117647058,7.894228497458742e-43,1.283946359069439e-42
NOP10,7.6901,5.779249999999999,1.9108500000000008,0.9934640522875817,2.1491480700702482e-86,3.041044519149401e-85
POTEI,-9.9658,-9.9658,0.0,0.032679738562091505,0.00011589638086521616,0.0001261487530186776
PSMA2,7.5084,5.2614,2.247,0.9934640522875817,3.2778593587435964e-87,6.625958560888842e-86
TRAPPC13,4.1844,3.3605,0.8239000000000001,0.7124183006535948,6.443205668567642e-38,9.803372065616359e-38
ACTL6A,5.4585,2.9148,2.5437,0.9934640522875817,2.5524063344340994e-88,1.0319014180640717e-86
ELAC2,5.2518,4.2639,0.9879000000000007,0.8169934640522876,2.5472497427739047e-48,4.591539345254873e-48
PTPN11,5.4516,5.2079,0.24369999999999958,0.43137254901960786,0.007730920543509618,0.00816362132019859
CCT8,6.7324,5.5931,1.1393000000000004,0.8758169934640523,1.5097182346666241e-52,2.774352340328926e-52
RPS21,10.7808,9.625599999999999,1.1552000000000007,0.8888888888888888,8.959109828470223e-65,2.0953951086422094e-64
PAK1IP1,4.1571,2.6579,1.4991999999999996,0.9673202614379085,1.1697384600686108e-79,5.1724372531158885e-79
NOP56,7.1557,6.1355,1.0202,0.7712418300653595,1.4533125268200395e-33,2.131023031554773e-33
FARSA,5.8324,4.941599999999999,0.8908000000000005,0.7581699346405228,1.6061821073846598e-42,2.5826678203969246e-42
CHMP4B,7.0453,6.4619,0.5834000000000001,0.7973856209150327,4.152597080428728e-39,6.386874857398533e-39
PDCD2,5.5342,4.197,1.3372000000000002,0.9869281045751634,4.773882423140442e-83,3.3775218143718624e-82
C3orf38,4.2965,1.9226,2.3739,0.9934640522875817,3.179326722102717e-87,6.625958560888842e-86
SPOUT1,5.438,4.197,1.2409999999999997,0.9084967320261438,1.1940921365699118e-52,2.2232110174295066e-52
POLE2,2.5163,-0.8599,3.3762000000000003,0.9934640522875817,5.267602464882241e-84,4.259232850176212e-83
DPH3,4.3082,2.8799,1.4283000000000001,0.9738562091503268,4.4708032598561334e-80,2.1087288708988095e-79
CIR1,4.6514,4.3267,0.3247,0.48366013071895425,1.213949684709106e-12,1.4079826261175288e-12
AASDHPPT,4.9672,4.51105,0.45615000000000006,0.38562091503267976,8.150524791245985e-10,9.153168713978626e-10
UBC,10.4577,9.33705,1.1206500000000013,0.9150326797385621,1.9393112586096326e-56,3.8649653956797607e-56
KDM8,1.8323,1.642,0.19030000000000014,0.16993464052287582,0.016155846831035926,0.016933720937715432
AK6,5.8197,5.09235,0.7273500000000004,0.7908496732026143,4.954086629287662e-44,8.247097153461225e-44
