gene,tractability_score,novelty_score,ot_sm_approved_drug,ot_sm_druggable_family,ot_sm_hq_pocket,ot_sm_struct_ligand,ot_drug_count,dgidb_n_drugs,dgidb_n_approved_drugs,chembl_target_id,chembl_n_potent,chembl_action_types,has_inhibitor_moa,uniprot_acc,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
PRKAR1A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
LMNA,0.45,0.0,False,True,False,True,0,3,2,CHEMBL1293235,1,,False,P02545,False,False,False,"Nucleus lamina;Nucleus envelope;Nucleus, nucleoplasm"
RPP25L,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
JUN,1.0,0.0,False,True,False,True,0,47,24,CHEMBL4977,61,,False,P05412,False,False,False,Nucleus
VRK1,0.8,1.0,False,True,True,True,0,0,0,,0,,False,,False,False,False,
CTDNEP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
FERMT2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
MET,1.0,0.0,True,True,True,True,38,118,25,CHEMBL3717,6729,AGONIST;ANTAGONIST;BINDING AGENT;INHIBITOR,True,P08581,True,True,True,Membrane;Secreted
ITGAV,1.0,0.0,False,True,True,True,9,17,3,CHEMBL3660,29,BINDING AGENT,False,P06756,False,False,True,"Cell membrane;Cell junction, focal adhesion"
CHMP4B,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
C3orf38,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SPCS3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
VCL,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ITGB5,0.8,0.5,False,True,False,True,3,5,0,CHEMBL2600,0,,False,P18084,False,False,True,Cell membrane
SURF4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PDGFRA,1.0,0.0,True,True,False,True,33,77,25,CHEMBL2007,965,ANTAGONIST;INHIBITOR,True,P16234,True,True,True,"Cell membrane;Cell projection, cilium;Golgi apparatus"
NOLC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
GPX4,0.6,1.0,False,False,False,True,0,2,0,,0,,False,,False,False,False,
KIF18B,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TRAPPC13,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PTK2,1.0,0.0,False,True,True,True,7,31,3,CHEMBL2695,1925,INHIBITOR,True,Q05397,True,True,True,"Cell junction, focal adhesion;Cell membrane;Cytoplasm, perinuclear region"
UBC,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
RPL10A,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067548,1,,False,P62906,False,False,False,Cytoplasm
FGFR1,1.0,0.0,True,True,True,True,26,136,38,CHEMBL3650,5414,INHIBITOR,True,P11362,True,True,True,"Cell membrane;Nucleus;Cytoplasm, cytosol"
SPOUT1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
BCCIP,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
POLR1H,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
EAF1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NHLRC2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
FRS2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CCT6A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ALG1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CDC25B,1.0,1.0,False,True,False,True,0,21,0,CHEMBL4804,80,,False,P30305,False,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle pole"
TIMM9,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
KLF16,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
KIF2C,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
GOLT1B,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TCP1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PSMG4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PDCL3,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
BRAT1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
FAM50A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
HAUS3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
KIF18A,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SYS1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
POP7,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SNRPB2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SEC62,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
LYRM4,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
C19orf53,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TAF1C,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SBDS,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
KRTAP21-1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
INTS12,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
DDX51,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
DDX55,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PRKRA,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PREB,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TAF1A,0.2,1.0,False,True,False,False,0,0,0,,0,,False,,False,False,False,
CCT4,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
HSCB,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
EIF3B,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
HAUS2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SETD5,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
UBTF,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ERCC6L,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NDC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PES1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CYFIP1,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
PDCD5,0.0,1.0,False,False,False,False,0,0,0,CHEMBL6066424,0,,False,O14737,False,False,False,"Nucleus;Cytoplasm, cytosol"
RABGGTB,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SRSF2,0.0,1.0,False,False,False,False,0,2,0,,0,,False,,False,False,False,
DPH3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PPAN,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
UBE2C,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ACTL6A,0.25,0.0,False,False,False,True,0,2,2,CHEMBL5724740,1,,False,O96019,False,False,False,Nucleus
RSAD1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PPP2R1A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
RPTOR,0.6,0.0,False,False,False,True,1,8,4,CHEMBL3120040,0,,False,Q8N122,False,False,True,Lysosome membrane;Cytoplasm;Cytoplasmic granule
TMED2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PPP1R12A,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SNUPN,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
MAK16,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CHMP7,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RAB1A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CDK2,1.0,0.0,False,True,True,True,14,117,9,CHEMBL301,2409,INHIBITOR,True,P24941,True,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Nucleus, Cajal body;Cytoplasm"
SPCS2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ELAC2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
GPR61,0.45,1.0,False,True,False,True,0,1,0,,0,,False,,False,False,False,
GRB2,0.8,0.0,False,False,True,True,1,4,1,CHEMBL3663,204,,False,P62993,False,False,False,Nucleus;Cytoplasm;Endosome
ODR4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ZNHIT3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ELAVL1,0.55,1.0,False,True,False,False,0,2,0,,0,,False,,False,False,False,
UBA5,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
EGLN1,1.0,0.0,True,True,False,True,5,15,3,CHEMBL5697,1773,INHIBITOR,True,Q9GZT9,False,True,False,Cytoplasm;Nucleus
SRF,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS17,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6066972,0,,False,P08708,False,False,False,"Cytoplasm;Nucleus, nucleolus"
CCT3,0.25,0.0,False,False,False,True,0,2,2,CHEMBL6066171,2,,False,P49368,False,True,False,Cytoplasm
RAC1,0.6,0.0,False,False,True,True,0,9,3,CHEMBL6094,5,,False,P63000,False,True,True,Cell membrane;Melanosome;Cytoplasm
EXT1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
LSM6,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
E2F3,0.0,0.5,False,False,False,False,1,1,0,,0,,False,O00716,False,False,False,Nucleus
MZT2A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
NELFA,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PPP1CB,0.0,1.0,False,False,False,False,0,2,0,,0,,False,,False,False,False,
