gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
PRKAR1A,1.0,0.5555555555555556,0.8803056027164686,0.0,0.0,0.06115107913669065,0.0,0.0989399293286219,0.2418300653594771,0.1071849234393403,0.25,1.0,0.7777777777777778,0.8803056027164686,0.0,0.030575539568345324,0.1703849973440495,0.1071849234393403,0.25,0.3166041201208545
LMNA,0.9964664310954063,0.5972222222222222,0.7852292020373515,0.2390170182434509,0.75,0.11510791366906475,0.0,0.8975265017667845,0.9477124183006536,0.4628975265017668,0.45,0.0,0.7968443266588143,0.7852292020373515,0.49450850912172545,0.05755395683453238,0.922619460033719,0.4628975265017668,0.45,0.5670932830268443
RPP25L,0.9929328621908127,0.7916666666666666,0.7062818336162988,0.23530989910735645,0.25,0.4856115107913669,1.0,0.26855123674911663,0.7712418300653595,0.6572438162544169,0.0,1.0,0.8922997644287396,0.7062818336162988,0.24265494955367822,0.7428057553956835,0.5198965334072381,0.6572438162544169,0.0,0.5373118075222936
JUN,0.9893992932862191,0.5555555555555556,0.8251273344651953,0.21311492801475132,0.25,0.564748201438849,1.0,0.7632508833922261,0.8431372549019608,0.2661955241460541,1.0,0.0,0.7724774244208874,0.8251273344651953,0.23155746400737565,0.7823741007194245,0.8031940691470935,0.2661955241460541,1.0,0.6687037024151472
VRK1,0.9858657243816255,0.8055555555555556,0.5738539898132429,0.0,0.0,0.17625899280575538,1.0,0.2332155477031802,0.6666666666666666,0.730270906949352,0.8,1.0,0.8957106399685906,0.5738539898132429,0.0,0.5881294964028777,0.4499411071849234,0.730270906949352,0.8,0.5768437343312839
CTDNEP1,0.9823321554770318,0.75,0.6129032258064516,0.2919610480939646,0.25,0.32014388489208634,1.0,0.6713780918727915,0.9738562091503268,0.4040047114252061,0.0,1.0,0.8661660777385158,0.6129032258064516,0.2709805240469823,0.6600719424460432,0.8226171505115591,0.4040047114252061,0.0,0.5195348045678225
FERMT2,0.9787985865724381,0.875,0.5322580645161291,0.2442512105928202,0.25,0.20503597122302158,1.0,0.7703180212014135,0.934640522875817,0.4770318021201413,0.25,1.0,0.926899293286219,0.5322580645161291,0.2471256052964101,0.6025179856115108,0.8524792720386152,0.4770318021201413,0.25,0.5554731461241466
MET,0.9752650176678446,0.2222222222222222,0.969439728353141,0.0,0.0,0.6007194244604317,1.0,0.9081272084805654,0.6274509803921569,0.6219081272084805,1.0,0.0,0.5987436199450333,0.969439728353141,0.0,0.8003597122302158,0.7677890944363611,0.6219081272084805,1.0,0.679748611739033
ITGAV,0.9717314487632509,0.9166666666666666,0.4736842105263158,0.2625812716165546,0.75,0.1223021582733813,0.0,0.8657243816254417,0.9607843137254902,0.2791519434628975,1.0,0.0,0.9441990577149588,0.4736842105263158,0.5062906358082773,0.06115107913669065,0.913254347675466,0.2791519434628975,1.0,0.5968187534749437
CHMP4B,0.9681978798586572,0.9861111111111112,0.2139219015280136,0.0,0.0,0.39928057553956836,1.0,0.20141342756183744,0.7973856209150327,0.1413427561837456,0.0,1.0,0.9771544954848842,0.2139219015280136,0.0,0.6996402877697842,0.4993995242384351,0.1413427561837456,0.0,0.3616369950292661
C3orf38,0.9646643109540636,0.5555555555555556,0.7962648556876061,0.43751258593720976,1.0,0.6402877697841727,1.0,0.9328621908127208,0.9934640522875816,0.812720848056537,0.0,1.0,0.7601099332548096,0.7962648556876061,0.7187562929686049,0.8201438848920863,0.9631631215501513,0.812720848056537,0.0,0.6958798480585421
SPCS3,0.9611307420494699,1.0,0.018675721561969394,0.0,0.0,0.05755395683453238,0.0,0.5971731448763251,0.934640522875817,0.336866902237927,0.0,1.0,0.980565371024735,0.018675721561969394,0.0,0.02877697841726619,0.7659068338760711,0.336866902237927,0.0,0.30439882958828124
VCL,0.9575971731448764,0.5555555555555556,0.7258064516129032,0.24399402214205107,0.75,0.09352517985611511,0.0,0.7385159010600707,0.8758169934640523,0.3792697290930507,0.25,1.0,0.7565763643502159,0.7258064516129032,0.49699701107102556,0.046762589928057555,0.8071664472620614,0.3792697290930507,0.25,0.4946540847596163
ITGB5,0.9540636042402827,0.4583333333333333,0.7767402376910018,0.32173744280620514,0.75,0.26618705035971224,1.0,0.8374558303886925,0.934640522875817,0.5064782096584217,0.8,0.5,0.706198468786808,0.7767402376910018,0.5358687214031026,0.6330935251798562,0.8860481766322548,0.5064782096584217,0.8,0.6920610484787779
SURF4,0.950530035335689,0.2916666666666667,0.9312393887945671,0.0,0.0,0.28776978417266186,1.0,0.9045936395759717,0.9934640522875816,0.3510011778563015,0.0,1.0,0.6210983510011778,0.9312393887945671,0.0,0.6438848920863309,0.9490288459317766,0.3510011778563015,0.0,0.4994646650957363
PDGFRA,0.9469964664310954,0.2638888888888889,0.9278438030560272,0.0,0.0,1.0,1.0,0.7915194346289752,0.6601307189542484,0.6289752650176679,1.0,0.0,0.6054426776599922,0.9278438030560272,0.0,1.0,0.7258250767916118,0.6289752650176679,1.0,0.6982981175036141
