gene,glioma_mean,cohens_d,dep_fdr,glioma_dep_fraction,pan_ess_fraction,is_common_essential,archetype,sl_effect,sl_n_contexts,sl_best_context,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner,sc_malignant_specificity,sc_tme_dominated_flag,sc_malignant_mean,sc_measured,sc_compartment,sc_specificity_tier,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_gbm_median_log2tpm,safety_composite,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,gtex_brain_max,lake_neuron_max,cns_high_risk,vital_high_risk,min_subgroup_n,tractability_score,novelty_score,has_inhibitor_moa,chembl_action_types,chembl_n_potent,dgidb_n_drugs,ot_drug_count,ot_sm_approved_drug,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
PRKAR1A,-0.5383205234241641,-1.5555487864913542,1.6598318913781384e-12,0.5555555555555556,0.1196943972835314,False,pan-glioma-dep,0.0,0,,,False,,-0.5684815618674244,True,0.3825321145028923,True,TME-dominated,TME-dominated,0.247349999999999,0.2418300653594771,6.5962,0.1071849234393403,0.1590106007067138,0.1342756183745582,0.028268551236749,126.19,0.4370851411141918,True,False,40,0.25,1.0,False,,0,0,0,False,False,False,False,
LMNA,-0.653580163849344,-1.323874797709614,2.74890918259083e-07,0.5972222222222222,0.2147707979626485,False,pan-glioma-dep,0.3666293648499845,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B,-0.3507789417272543,True,0.4277314922714454,True,TME-dominated,TME-dominated,2.1386000000000003,0.9477124183006536,6.5137,0.4628975265017668,0.127208480565371,0.6007067137809188,0.6607773851590106,24.7087,0.0747533175785201,False,False,43,0.45,0.0,False,,1,3,0,False,False,False,False,"Nucleus lamina;Nucleus envelope;Nucleus, nucleoplasm"
RPP25L,-0.8883326965487299,-1.3083565507702313,3.067677572687071e-11,0.7916666666666666,0.2937181663837012,False,pan-glioma-dep,0.3609429968069141,1,PTEN_loss,TSG-loss,True,PTEN,-0.0300740543320953,False,0.0853934697462412,True,tumor-cell-expressed,not-TME-dominated-weak,0.7375499999999997,0.7712418300653595,4.7955,0.6572438162544169,0.5123674911660777,0.5441696113074205,0.9151943462897526,27.6346,0.0166839987776561,False,False,57,0.0,1.0,False,,0,0,0,False,False,False,False,
JUN,-0.6043523012498403,-1.2125751591718206,9.433296732263258e-09,0.5555555555555556,0.1748726655348047,False,pan-glioma-dep,0.3268980228784999,1,MTAP_del,passenger-del(PRMT5-axis),False,,-0.016622702273553,False,1.58097242902,True,tumor-cell-expressed,not-TME-dominated-weak,1.6655999999999995,0.8431372549019608,6.6645,0.2661955241460541,0.0600706713780918,0.1872791519434629,0.5512367491166077,97.6156,0.1042028837720412,False,True,40,1.0,0.0,False,,61,47,0,False,False,False,False,Nucleus
VRK1,-0.7914978060856416,-1.2118455907857624,2.106783443510991e-07,0.8055555555555556,0.4261460101867572,False,pan-glioma-dep,0.0,0,,,False,,-0.2113097375980132,False,0.071376869263736,True,tumor-cell-expressed,not-TME-dominated-weak,0.6784999999999997,0.6666666666666666,3.3869,0.730270906949352,0.8975265017667844,0.8303886925795053,0.4628975265017667,8.48532,0.1115702079297357,False,False,58,0.8,1.0,False,,0,0,0,False,False,False,False,
CTDNEP1,-0.6984696180452405,-1.136694801093814,1.5878269123543985e-08,0.75,0.3870967741935484,False,pan-glioma-dep,0.4478404693116825,1,PTEN_loss,TSG-loss,True,PTEN,-0.0814354600921737,False,0.2244735804246235,True,tumor-cell-expressed,not-TME-dominated-weak,1.3955000000000002,0.9738562091503268,7.2834,0.4040047114252061,0.1201413427561837,0.1307420494699647,0.96113074204947,128.875,0.002627340731658,False,False,54,0.0,1.0,False,,0,0,0,False,False,False,False,
FERMT2,-1.0813017039280832,-0.9849211235687436,2.600354556234335e-10,0.875,0.4677419354838709,False,pan-glioma-dep,0.374658117909724,1,PTEN_loss,TSG-loss,True,PTEN,-0.1751169905876933,False,0.2662250056262559,True,tumor-cell-expressed,not-TME-dominated-weak,1.6955,0.934640522875817,5.8846,0.4770318021201413,0.2120141342756183,0.5229681978798586,0.6961130742049471,29.2531,0.0691348517864612,False,False,63,0.25,1.0,False,,0,0,0,False,False,False,False,
MET,-0.2959464253827698,-0.9820219051170668,0.0038838823557679,0.2222222222222222,0.030560271646859,False,subset-dep,0.0,0,,,False,,-0.0091040742289824,False,0.016450479867255,True,tumor-cell-expressed,not-TME-dominated-weak,2.1591,0.6274509803921569,0.8408,0.6219081272084805,0.7809187279151943,0.9187279151943464,0.166077738515901,3.41205,0.2388796593624181,False,False,16,1.0,0.0,True,AGONIST;ANTAGONIST;BINDING AGENT;INHIBITOR,6729,118,38,True,True,True,True,Membrane;Secreted
ITGAV,-1.0241786152471235,-0.9313554733107188,2.7227807310495048e-11,0.9166666666666666,0.5263157894736842,False,pan-glioma-dep,0.4027746875171157,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B,-0.3221710226422635,True,0.2324604319257197,True,TME-dominated,TME-dominated,1.9452999999999996,0.9607843137254902,5.6381,0.2791519434628975,0.3462897526501767,0.3816254416961131,0.1095406360424028,45.2411,0.2894833904505886,False,False,66,1.0,0.0,False,BINDING AGENT,29,17,9,False,False,False,True,"Cell membrane;Cell junction, focal adhesion"
CHMP4B,-1.5527638521903049,-0.9279605134090227,1.0906903344882525e-10,0.9861111111111112,0.7860780984719864,True,pan-glioma-dep,0.0,0,,,False,,-0.0470054902465609,False,0.3139561145275214,True,tumor-cell-expressed,not-TME-dominated-weak,0.5834000000000001,0.7973856209150327,7.0453,0.1413427561837456,0.1095406360424028,0.0636042402826855,0.2508833922261484,226.931,0.1887642631690073,True,False,71,0.0,1.0,False,,0,0,0,False,False,False,False,
C3orf38,-0.57108249124729,-0.9228878742890232,5.192648617600754e-07,0.5555555555555556,0.2037351443123939,False,pan-glioma-dep,0.6711026799466343,4,PDGFRA_amp,oncogene-amp,True,CDKN2A;CDKN2B,-0.0063676162667887,False,0.1029237699776399,True,tumor-cell-expressed,not-TME-dominated-weak,2.3739,0.9934640522875816,4.2965,0.812720848056537,0.8586572438162544,0.8657243816254416,0.7137809187279152,7.437180000000001,0.0675989292060647,False,False,40,0.0,1.0,False,,0,0,0,False,False,False,False,
SPCS3,-1.3076720750962554,-0.8954576819382083,2.918758797119604e-09,1.0,0.9813242784380306,True,pan-glioma-dep,0.0,0,,,False,,-0.586116381369917,True,0.2026863583578302,True,TME-dominated,TME-dominated,1.2950000000000004,0.934640522875817,5.067,0.336866902237927,0.2544169611307421,0.3957597173144876,0.3604240282685512,43.4749,0.1393656278671895,False,False,72,0.0,1.0,False,,0,0,0,False,False,False,False,
