gene,rank_full,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability
KIF2C,1,0.7160219111484435,novel,1.0,False,0.8763250883392226,0.3333333333333333,0.8225806451612903,0.3019042919213393,0.75,0.4640287769784172,1.0,0.9823321554770318,1.0,0.9481743227326266,0.6,1.0,0.6048292108362779,0.8225806451612903,0.5259521459606696,0.7320143884892086,0.9911660777385158,0.9481743227326266,0.6
PDGFRA,2,0.708602914366016,approved_sm_drug,0.0,True,0.9469964664310954,0.2638888888888889,0.9278438030560272,0.0,0.0,1.0,1.0,0.7915194346289752,0.6601307189542484,0.6289752650176679,1.0,0.0,0.6054426776599922,0.9278438030560272,0.0,1.0,0.7258250767916118,0.6289752650176679,1.0
JUN,3,0.6959325965625929,has_sm_chemistry,0.5,False,0.9893992932862192,0.5555555555555556,0.8251273344651953,0.2131149280147513,0.25,0.564748201438849,1.0,0.7632508833922261,0.8431372549019608,0.2661955241460541,1.0,0.0,0.7724774244208874,0.8251273344651953,0.2315574640073756,0.7823741007194245,0.8031940691470935,0.2661955241460541,1.0
MET,4,0.6946114001112601,approved_sm_drug,0.0,True,0.9752650176678446,0.2222222222222222,0.969439728353141,0.0,0.0,0.6007194244604317,1.0,0.9081272084805654,0.6274509803921569,0.6219081272084805,1.0,0.0,0.5987436199450333,0.969439728353141,0.0,0.8003597122302158,0.7677890944363611,0.6219081272084805,1.0
ITGB5,5,0.6940461671546392,novel,1.0,False,0.9540636042402828,0.4583333333333333,0.7767402376910018,0.3217374428062051,0.75,0.2661870503597122,1.0,0.8374558303886925,0.934640522875817,0.5064782096584217,0.8,0.5,0.706198468786808,0.7767402376910018,0.5358687214031026,0.6330935251798562,0.8860481766322548,0.5064782096584217,0.8
CDK2,6,0.6776305000120081,has_sm_chemistry,0.5,False,0.6996466431095406,0.8055555555555556,0.3115449915110356,0.5109280714141762,0.25,0.2985611510791366,1.0,0.9717314487632508,1.0,0.790341578327444,1.0,0.0,0.752601099332548,0.3115449915110356,0.3804640357070881,0.6492805755395683,0.9858657243816256,0.790341578327444,1.0
C3orf38,7,0.6671685607745805,novel,1.0,False,0.9646643109540636,0.5555555555555556,0.7962648556876061,0.4375125859372097,1.0,0.6402877697841727,1.0,0.9328621908127208,0.9934640522875816,0.812720848056537,0.0,1.0,0.7601099332548096,0.7962648556876061,0.7187562929686049,0.8201438848920863,0.9631631215501512,0.812720848056537,0.0
ITGAV,8,0.6367784643011866,has_sm_chemistry,0.5,False,0.9717314487632508,0.9166666666666666,0.4736842105263158,0.2625812716165546,0.75,0.1223021582733813,0.0,0.8657243816254417,0.9607843137254902,0.2791519434628975,1.0,0.0,0.9441990577149588,0.4736842105263158,0.5062906358082773,0.0611510791366906,0.913254347675466,0.2791519434628975,1.0
VRK1,9,0.6300869027000289,novel,1.0,True,0.9858657243816256,0.8055555555555556,0.5738539898132429,0.0,0.0,0.1762589928057553,1.0,0.2332155477031802,0.6666666666666666,0.730270906949352,0.8,1.0,0.8957106399685906,0.5738539898132429,0.0,0.5881294964028777,0.4499411071849234,0.730270906949352,0.8
KIF18B,10,0.625356232366852,novel,1.0,False,0.9363957597173144,0.5694444444444444,0.6740237691001698,0.2119358782212834,0.5,0.7410071942446043,1.0,0.9929328621908128,0.9934640522875816,0.96113074204947,0.0,1.0,0.7529201020808794,0.6740237691001698,0.3559679391106417,0.8705035971223021,0.9931984572391972,0.96113074204947,0.0
FGFR1,11,0.6244715680383143,approved_sm_drug,0.0,True,0.9187279151943464,0.2777777777777778,0.9066213921901528,0.0,0.0,0.8812949640287769,1.0,0.3957597173144876,0.5882352941176471,0.1648998822143698,1.0,0.0,0.598252846486062,0.9066213921901528,0.0,0.9406474820143884,0.4919975057160674,0.1648998822143698,1.0
CDC25B,12,0.6131193269544546,has_sm_chemistry,0.5,False,0.8869257950530035,0.3888888888888889,0.8047538200339559,0.0,0.0,0.7661870503597122,1.0,0.4381625441696113,0.7189542483660131,0.1460541813898704,1.0,1.0,0.6379073419709462,0.8047538200339559,0.0,0.8830935251798562,0.5785583962678122,0.1460541813898704,1.0
EGLN1,13,0.6115329499754479,approved_sm_drug,0.0,False,0.6678445229681979,0.2777777777777778,0.8820033955857386,0.0,0.0,0.3453237410071942,1.0,0.4734982332155477,0.8431372549019608,0.4935217903415783,1.0,0.0,0.4728111503729878,0.8820033955857386,0.0,0.6726618705035972,0.6583177440587542,0.4935217903415783,1.0
KIF18A,14,0.5965494535788795,novel,1.0,False,0.8480565371024735,0.9722222222222222,0.1146010186757215,0.0,0.0,0.4028776978417266,1.0,0.9858657243816256,0.9934640522875816,0.9587750294464076,0.6,1.0,0.9101393796623478,0.1146010186757215,0.0,0.7014388489208633,0.9896648883346036,0.9587750294464076,0.6
AMY2A,15,0.5921053047715229,has_sm_chemistry,0.5,False,0.3356890459363957,0.3472222222222222,0.797962648556876,0.0,0.0,0.6942446043165468,1.0,0.0035335689045936,0.0,0.9434628975265018,1.0,0.0,0.341455634079309,0.797962648556876,0.0,0.8471223021582734,0.0017667844522968,0.9434628975265018,1.0
LMNA,16,0.5903869164938166,novel,1.0,False,0.9964664310954064,0.5972222222222222,0.7852292020373515,0.2390170182434509,0.75,0.1151079136690647,0.0,0.8975265017667845,0.9477124183006536,0.4628975265017668,0.45,0.0,0.7968443266588143,0.7852292020373515,0.4945085091217254,0.0575539568345323,0.922619460033719,0.4628975265017668,0.45
WDR77,17,0.5818445872302611,novel,1.0,False,0.254416961130742,1.0,0.0093378607809847,0.5670393568484009,0.75,0.8345323741007195,1.0,0.8162544169611308,0.9869281045751634,0.7550058892815077,0.6,1.0,0.627208480565371,0.0093378607809847,0.6585196784242004,0.9172661870503598,0.9015912607681472,0.7550058892815077,0.6
FERMT2,18,0.5711116983515513,novel,1.0,False,0.978798586572438,0.875,0.5322580645161291,0.2442512105928202,0.25,0.2050359712230215,1.0,0.7703180212014135,0.934640522875817,0.4770318021201413,0.25,1.0,0.926899293286219,0.5322580645161291,0.2471256052964101,0.6025179856115108,0.8524792720386152,0.4770318021201413,0.25
ELAVL1,19,0.5682021167834226,novel,1.0,False,0.6749116607773852,0.3472222222222222,0.8166383701188455,0.0,0.0,0.6906474820143885,1.0,0.8869257950530035,0.9738562091503268,0.4369846878680801,0.55,1.0,0.5110669414998037,0.8166383701188455,0.0,0.8453237410071943,0.9303910021016653,0.4369846878680801,0.55
RPP25L,20,0.5673719158428345,novel,1.0,False,0.9929328621908128,0.7916666666666666,0.7062818336162988,0.2353098991073564,0.25,0.4856115107913669,1.0,0.2685512367491166,0.7712418300653595,0.6572438162544169,0.0,1.0,0.8922997644287396,0.7062818336162988,0.2426549495536782,0.7428057553956835,0.5198965334072381,0.6572438162544169,0.0
PTK2,21,0.5589614259274447,has_sm_chemistry,0.5,False,0.9293286219081272,0.75,0.5050933786078099,0.2076381791229156,0.5,0.0863309352517985,0.0,0.0742049469964664,0.3202614379084967,0.3792697290930507,1.0,0.0,0.8396643109540636,0.5050933786078099,0.3538190895614578,0.0431654676258992,0.1972331924524815,0.3792697290930507,1.0
E2F3,22,0.5582298674514453,novel,1.0,False,0.6431095406360424,0.25,0.8743633276740238,1.0,0.25,0.5323741007194245,1.0,0.7314487632508834,0.8104575163398693,0.6702002355712603,0.0,0.5,0.4465547703180212,0.8743633276740238,0.625,0.7661870503597122,0.7709531397953764,0.6702002355712603,0.0
ERCC6L,23,0.557013470005552,novel,1.0,False,0.7703180212014135,0.2361111111111111,0.8981324278438031,0.0,0.0,0.6366906474820144,1.0,0.978798586572438,0.9869281045751634,0.9646643109540636,0.0,1.0,0.5032145661562623,0.8981324278438031,0.0,0.8183453237410072,0.9828633455738008,0.9646643109540636,0.0
PDCL3,24,0.5549081972473332,novel,1.0,False,0.8621908127208481,0.4722222222222222,0.7716468590831919,0.0,0.0,0.302158273381295,1.0,0.6007067137809188,0.9607843137254902,0.7467608951707891,0.25,1.0,0.6672065174715351,0.7716468590831919,0.0,0.6510791366906474,0.7807455137532044,0.7467608951707891,0.25
RPTOR,25,0.5546939718866523,novel,1.0,False,0.7243816254416962,0.9861111111111112,0.0577249575551783,0.43499023422104,0.5,0.7302158273381295,1.0,0.1943462897526501,0.5098039215686274,0.5594817432273262,0.6,0.0,0.8552463682764037,0.0577249575551783,0.46749511711052,0.8651079136690647,0.3520751056606388,0.5594817432273262,0.6
UBC,26,0.5506001507445109,novel,1.0,False,0.9257950530035336,0.2916666666666667,0.8862478777589136,0.2502685399681992,0.25,0.1942446043165467,1.0,0.469964664310954,0.915032679738562,0.0400471142520612,0.6,1.0,0.6087308598351001,0.8862478777589136,0.2501342699840996,0.5971223021582734,0.692498672024758,0.0400471142520612,0.6
BRCA1,27,0.549136087787895,has_sm_chemistry,0.5,False,0.381625441696113,0.5,0.6383701188455009,0.0,0.0,0.6151079136690647,1.0,0.9434628975265018,0.9803921568627452,0.9022379269729094,0.4,0.0,0.4408127208480565,0.6383701188455009,0.0,0.8075539568345323,0.9619275271946236,0.9022379269729094,0.4
SNUPN,28,0.5459120954097881,novel,1.0,False,0.7137809187279152,0.9861111111111112,0.0441426146010186,0.0,0.0,0.7446043165467626,1.0,0.4452296819787986,0.915032679738562,0.7868080094228503,0.6,1.0,0.8499460149195132,0.0441426146010186,0.0,0.8723021582733813,0.6801311808586803,0.7868080094228503,0.6
EXT1,29,0.5445758120948081,novel,1.0,False,0.6501766784452296,0.3333333333333333,0.8217317487266553,0.3715973074917503,0.25,0.3633093525179856,1.0,0.9187279151943464,0.9673202614379084,0.502944640753828,0.25,1.0,0.4917550058892814,0.8217317487266553,0.3107986537458752,0.6816546762589928,0.9430240883161274,0.502944640753828,0.25
MLST8,30,0.5436685726966761,novel,1.0,False,0.4381625441696113,0.5972222222222222,0.5662139219015281,0.3422196144987567,0.25,0.9496402877697842,1.0,0.215547703180212,0.5359477124183006,0.4369846878680801,0.6,0.0,0.5176923831959168,0.5662139219015281,0.2961098072493783,0.974820143884892,0.3757477077992563,0.4369846878680801,0.6
GPR61,31,0.5435907351389461,novel,1.0,False,0.6890459363957597,0.5138888888888888,0.6910016977928692,0.0,0.0,0.7050359712230215,1.0,0.0070671378091872,0.0,0.906949352179034,0.45,1.0,0.6014674126423243,0.6910016977928692,0.0,0.8525179856115108,0.0035335689045936,0.906949352179034,0.45
