gene,glioma_mean,cohens_d,dep_fdr,glioma_dep_fraction,pan_ess_fraction,is_common_essential,archetype,sl_effect,sl_n_contexts,sl_best_context,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner,sc_malignant_specificity,sc_tme_dominated_flag,sc_malignant_mean,sc_measured,sc_compartment,sc_specificity_tier,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_gbm_median_log2tpm,safety_composite,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,gtex_brain_max,lake_neuron_max,cns_high_risk,vital_high_risk,min_subgroup_n,tractability_score,novelty_score,has_inhibitor_moa,chembl_action_types,chembl_n_potent,dgidb_n_drugs,ot_drug_count,ot_sm_approved_drug,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,rank_full,sl_effect_v1,sl_n_contexts_v1,sl_expr_partner,sl_expr_cohens_d,sl_expr_reported,expert_composite_v1,sl_source,rank_all,is_gbm_oncogene_control
KIF2C,-0.4449973815699276,-0.663959221805598,8.396700050542588e-05,0.3333333333333333,0.1774193548387097,False,subset-dep,0.4630924592987127,3,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,-0.0338988041723236,False,0.0548026892951098,True,tumor-cell-expressed,not-TME-dominated-weak,5.1898,1.0,3.5947,0.9481743227326266,0.950530035335689,0.9575971731448764,0.9363957597173144,0.983871,0.0072299685806495,False,False,24,0.6,1.0,False,,0,0,0,False,False,False,False,,0.8763250883392226,0.3333333333333333,0.8225806451612903,0.30190429192133933,0.75,0.4640287769784172,1.0,0.9823321554770318,1.0,0.9481743227326266,0.6,1.0,0.6048292108362779,0.8225806451612903,0.5259521459606696,0.7320143884892086,0.9911660777385158,0.9481743227326266,0.6,0.7463881129883697,0.7160219111484435,novel,1.0,False,1,0.4630924592987127,3,,0.0,,0.7160219111484435,genotype,1,False
PDGFRA,-0.409077186802224,-0.843232797061861,0.0038568140432276,0.2638888888888889,0.0721561969439728,False,subset-dep,0.0,0,,,False,,0.3088852412256274,False,0.3610676309037116,True,tumor-cell-expressed,confirmed-malignant-enriched,1.7384000000000004,0.6601307189542484,4.4088,0.6289752650176679,0.2756183745583038,0.7314487632508834,0.8798586572438163,16.7691,0.0246374975376146,False,False,19,1.0,0.0,True,ANTAGONIST;INHIBITOR,965,77,33,True,True,True,True,"Cell membrane;Cell projection, cilium;Golgi apparatus",0.9469964664310954,0.2638888888888889,0.9278438030560272,0.0,0.0,1.0,1.0,0.7915194346289752,0.6601307189542484,0.6289752650176679,1.0,0.0,0.6054426776599922,0.9278438030560272,0.0,1.0,0.7258250767916118,0.6289752650176679,1.0,0.6982981175036141,0.708602914366016,approved_sm_drug,0.0,True,2,0.0,0,,0.0,,0.708602914366016,none,2,True
JUN,-0.6043523012498403,-1.2125751591718206,9.433296732263258e-09,0.5555555555555556,0.1748726655348047,False,pan-glioma-dep,0.3268980228784999,1,MTAP_del,passenger-del(PRMT5-axis),False,,-0.016622702273553,False,1.58097242902,True,tumor-cell-expressed,not-TME-dominated-weak,1.6655999999999995,0.8431372549019608,6.6645,0.2661955241460541,0.0600706713780918,0.1872791519434629,0.5512367491166077,97.6156,0.1042028837720412,False,True,40,1.0,0.0,False,,61,47,0,False,False,False,False,Nucleus,0.9893992932862192,0.5555555555555556,0.8251273344651953,0.21311492801475132,0.25,0.564748201438849,1.0,0.7632508833922261,0.8431372549019608,0.2661955241460541,1.0,0.0,0.7724774244208874,0.8251273344651953,0.23155746400737565,0.7823741007194245,0.8031940691470935,0.2661955241460541,1.0,0.6687037024151472,0.695932596562593,has_sm_chemistry,0.5,False,3,0.3268980228784999,1,,0.0,,0.695932596562593,genotype,3,False
MET,-0.2959464253827698,-0.9820219051170668,0.0038838823557679,0.2222222222222222,0.030560271646859,False,subset-dep,0.0,0,,,False,,-0.0091040742289824,False,0.016450479867255,True,tumor-cell-expressed,not-TME-dominated-weak,2.1591,0.6274509803921569,0.8408,0.6219081272084805,0.7809187279151943,0.9187279151943464,0.166077738515901,3.41205,0.2388796593624181,False,False,16,1.0,0.0,True,AGONIST;ANTAGONIST;BINDING AGENT;INHIBITOR,6729,118,38,True,True,True,True,Membrane;Secreted,0.9752650176678446,0.2222222222222222,0.969439728353141,0.0,0.0,0.6007194244604317,1.0,0.9081272084805654,0.6274509803921569,0.6219081272084805,1.0,0.0,0.5987436199450333,0.969439728353141,0.0,0.8003597122302158,0.7677890944363611,0.6219081272084805,1.0,0.679748611739033,0.6946114001112601,approved_sm_drug,0.0,True,4,0.0,0,,0.0,,0.6946114001112601,none,4,True
ITGB5,-0.582001271003651,-0.8604489360947074,1.16729792263953e-05,0.4583333333333333,0.2232597623089983,False,pan-glioma-dep,0.4935146257424675,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2B;NF1,-0.1156345549535336,False,0.0344190005259734,True,tumor-cell-expressed,not-TME-dominated-weak,1.8698000000000008,0.934640522875817,5.613,0.5064782096584217,0.2332155477031802,0.6749116607773852,0.6113074204946997,19.8872,0.0847173920983162,False,False,33,0.8,0.5,False,,0,5,3,False,False,False,True,Cell membrane,0.9540636042402828,0.4583333333333333,0.7767402376910018,0.32173744280620514,0.75,0.2661870503597122,1.0,0.8374558303886925,0.934640522875817,0.5064782096584217,0.8,0.5,0.706198468786808,0.7767402376910018,0.5358687214031026,0.6330935251798561,0.8860481766322548,0.5064782096584217,0.8,0.6920610484787779,0.6940461671546392,novel,1.0,False,5,0.4935146257424675,3,,0.0,,0.6940461671546392,genotype,5,False
CDK2,-0.8448083742538047,-0.5308904455899274,0.0053914476508516,0.8055555555555556,0.6884550084889643,True,pan-glioma-dep,0.7837150495945473,1,RB1_loss,TSG-loss,True,RB1,-0.0938563004915027,False,0.0567148694155115,True,tumor-cell-expressed,not-TME-dominated-weak,3.6476,1.0,4.9468,0.790341578327444,0.469964664310954,0.92226148409894,0.978798586572438,3.33791,0.0012341191090476,False,False,58,1.0,0.0,True,INHIBITOR,2409,117,14,False,True,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Nucleus, Cajal body;Cytoplasm",0.6996466431095406,0.8055555555555556,0.3115449915110356,0.5109280714141762,0.25,0.2985611510791366,1.0,0.9717314487632508,1.0,0.790341578327444,1.0,0.0,0.752601099332548,0.3115449915110356,0.3804640357070881,0.6492805755395683,0.9858657243816253,0.790341578327444,1.0,0.6957282863999014,0.6776305000120081,has_sm_chemistry,0.5,False,6,0.7837150495945473,1,,0.0,,0.6776305000120082,genotype,6,False
VRK1,-0.7914978060856416,-1.2118455907857624,2.106783443510991e-07,0.8055555555555556,0.4261460101867572,False,pan-glioma-dep,0.697,1,,,False,,-0.2113097375980132,False,0.071376869263736,True,tumor-cell-expressed,not-TME-dominated-weak,0.6784999999999997,0.6666666666666666,3.3869,0.730270906949352,0.8975265017667844,0.8303886925795053,0.4628975265017667,8.48532,0.1115702079297357,False,False,58,0.8,1.0,False,,0,0,0,False,False,False,False,,0.9858657243816256,0.8055555555555556,0.5738539898132429,0.45439584956281853,0.25,0.1762589928057553,1.0,0.2332155477031802,0.6666666666666666,0.730270906949352,0.8,1.0,0.8957106399685906,0.5738539898132429,0.35219792478140927,0.5881294964028776,0.4499411071849234,0.730270906949352,0.8,0.5768437343312839,0.672350653673798,novel,1.0,True,9,0.0,0,VRK2,0.697,yes,0.6300869027000289,expression_paralog,7,True
C3orf38,-0.57108249124729,-0.9228878742890232,5.192648617600754e-07,0.5555555555555556,0.2037351443123939,False,pan-glioma-dep,0.6711026799466343,4,PDGFRA_amp,oncogene-amp,True,CDKN2A;CDKN2B,-0.0063676162667887,False,0.1029237699776399,True,tumor-cell-expressed,not-TME-dominated-weak,2.3739,0.9934640522875816,4.2965,0.812720848056537,0.8586572438162544,0.8657243816254416,0.7137809187279152,7.437180000000001,0.0675989292060647,False,False,40,0.0,1.0,False,,0,0,0,False,False,False,False,,0.9646643109540636,0.5555555555555556,0.7962648556876061,0.43751258593720976,1.0,0.6402877697841727,1.0,0.9328621908127208,0.9934640522875816,0.812720848056537,0.0,1.0,0.7601099332548096,0.7962648556876061,0.7187562929686049,0.8201438848920863,0.9631631215501513,0.812720848056537,0.0,0.6958798480585421,0.6671685607745805,novel,1.0,False,7,0.6711026799466343,4,,0.0,,0.6671685607745805,genotype,8,False
ITGAV,-1.0241786152471235,-0.9313554733107188,2.7227807310495048e-11,0.9166666666666666,0.5263157894736842,False,pan-glioma-dep,0.4027746875171157,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B,-0.3221710226422635,True,0.2324604319257197,True,TME-dominated,TME-dominated,1.9452999999999996,0.9607843137254902,5.6381,0.2791519434628975,0.3462897526501767,0.3816254416961131,0.1095406360424028,45.2411,0.2894833904505886,False,False,66,1.0,0.0,False,BINDING AGENT,29,17,9,False,False,False,True,"Cell membrane;Cell junction, focal adhesion",0.9717314487632508,0.9166666666666666,0.4736842105263158,0.2625812716165546,0.75,0.1223021582733813,0.0,0.8657243816254417,0.9607843137254902,0.2791519434628975,1.0,0.0,0.9441990577149587,0.4736842105263158,0.5062906358082773,0.06115107913669065,0.913254347675466,0.2791519434628975,1.0,0.5968187534749437,0.6367784643011866,has_sm_chemistry,0.5,False,8,0.4027746875171157,3,,0.0,,0.6367784643011866,genotype,9,False
RPP25L,-0.8883326965487299,-1.3083565507702313,3.067677572687071e-11,0.7916666666666666,0.2937181663837012,False,pan-glioma-dep,2.16,2,PTEN_loss,TSG-loss,True,PTEN,-0.0300740543320953,False,0.0853934697462412,True,tumor-cell-expressed,not-TME-dominated-weak,0.7375499999999997,0.7712418300653595,4.7955,0.6572438162544169,0.5123674911660777,0.5441696113074205,0.9151943462897526,27.6346,0.0166839987776561,False,False,57,0.0,1.0,False,,0,0,0,False,False,False,False,,0.9929328621908128,0.7916666666666666,0.7062818336162988,1.0,0.5,0.4856115107913669,1.0,0.2685512367491166,0.7712418300653595,0.6572438162544169,0.0,1.0,0.8922997644287397,0.7062818336162988,0.75,0.7428057553956835,0.5198965334072381,0.6572438162544169,0.0,0.5373118075222936,0.6282533218963932,novel,1.0,False,20,0.3609429968069141,1,RPP25,2.16,yes,0.5673719158428345,expression_paralog,10,False
