gene,rank_all,comp_expert,rank_comp,comp_nonexp,rank_comp_ne,nom_frequency,novelty_tier,expert_minus_nonexpert_rank
KIF2C,1,0.7160219111484435,1.0,0.7428187145355527,2.0,0.87,novel,-1.0
PDGFRA,2,0.708602914366016,2.0,0.7041452475641109,4.0,1.0,approved_sm_drug,-2.0
JUN,3,0.6959325965625929,3.0,0.6894270301394254,6.0,0.01,has_sm_chemistry,-3.0
MET,4,0.6946114001112601,4.0,0.6785634807286195,8.0,1.0,approved_sm_drug,-4.0
ITGB5,5,0.6940461671546392,5.0,0.6976908273481748,5.0,0.52,novel,0.0
CDK2,6,0.6776305000120081,6.0,0.681744194951777,7.0,1.0,has_sm_chemistry,-1.0
C3orf38,7,0.6671685607745805,7.0,0.7462871211441835,1.0,0.02,novel,6.0
ITGAV,8,0.6367784643011866,8.0,0.5954418413154454,28.0,0.31,has_sm_chemistry,-20.0
VRK1,9,0.6300869027000289,9.0,0.5935160053902682,30.0,0.99,novel,-21.0
KIF18B,10,0.625356232366852,10.0,0.7112456307889369,3.0,0.47,novel,7.0
FGFR1,11,0.6244715680383143,11.0,0.6072149958968935,21.0,0.5,approved_sm_drug,-10.0
CDC25B,12,0.6131193269544546,12.0,0.6013987003502345,25.0,0.37,has_sm_chemistry,-13.0
EGLN1,13,0.6115329499754478,13.0,0.5854979397535365,36.0,0.99,approved_sm_drug,-23.0
KIF18A,14,0.5965494535788795,14.0,0.6360070453276614,11.0,0.99,novel,3.0
AMY2A,15,0.5921053047715229,15.0,0.5219079585899633,96.0,0.0,has_sm_chemistry,-81.0
LMNA,16,0.5903869164938167,16.0,0.5834735371505992,37.0,0.0,novel,-21.0
WDR77,17,0.5818445872302611,17.0,0.642256097964871,9.0,0.41,novel,8.0
FERMT2,18,0.5711116983515513,18.0,0.6174399352638351,16.0,0.0,novel,2.0
ELAVL1,19,0.5682021167834226,19.0,0.6143458751311365,17.0,1.0,novel,2.0
RPP25L,20,0.5673719158428345,20.0,0.6087807147709593,20.0,0.0,novel,0.0
PTK2,21,0.5589614259274447,21.0,0.4582301818982795,179.0,0.48,has_sm_chemistry,-158.0
E2F3,22,0.5582298674514453,22.0,0.6249732122122489,12.0,0.62,novel,10.0
ERCC6L,23,0.557013470005552,23.0,0.6366251599358059,10.0,0.06,novel,13.0
PDCL3,24,0.5549081972473332,24.0,0.5915146238905926,33.0,0.0,novel,-9.0
RPTOR,25,0.5546939718866523,25.0,0.565391223339608,51.0,0.0,novel,-26.0
UBC,26,0.550600150744511,26.0,0.56023560984306,56.0,0.0,novel,-30.0
BRCA1,27,0.549136087787895,27.0,0.6046069504200979,23.0,0.0,has_sm_chemistry,4.0
SNUPN,28,0.5459120954097881,28.0,0.5793243820327415,43.0,0.0,novel,-15.0
EXT1,29,0.5445758120948081,29.0,0.6031876211035658,24.0,0.0,novel,5.0
MLST8,30,0.5436685726966761,30.0,0.5578858403142334,58.0,0.01,novel,-28.0
GPR61,31,0.5435907351389461,31.0,0.516651293413906,103.0,0.02,novel,-72.0
C19orf53,32,0.5317974311401013,32.0,0.6098842523621314,19.0,0.0,novel,13.0
SNRPB2,33,0.5313853751170409,33.0,0.5866631500379235,35.0,0.0,novel,-2.0
GGPS1,34,0.5307863083918601,34.0,0.5508432953659552,64.0,0.0,has_sm_chemistry,-30.0
DSCC1,35,0.5301280973231776,35.0,0.6191162715297838,15.0,0.0,novel,20.0
CTDNEP1,36,0.5293917817639416,36.0,0.5976156772186214,26.0,0.0,novel,10.0
INTS12,37,0.5290354451231487,37.0,0.6204230001484606,14.0,0.0,novel,23.0
TIMM9,38,0.5280531948173278,38.0,0.5826679065883261,38.0,0.0,novel,0.0
CDK7,39,0.5276665452590537,39.0,0.5324420644322853,83.0,1.0,has_sm_chemistry,-44.0
TEAD1,40,0.5275122985050839,40.0,0.5409679222745348,76.0,1.0,has_sm_chemistry,-36.0
UBE2C,41,0.5209445416004571,41.0,0.6223119652603821,13.0,0.04,novel,28.0
NDC1,42,0.5192384225534417,42.0,0.605964721008015,22.0,0.0,novel,20.0
VCL,43,0.5190210337544942,43.0,0.5223766154131707,95.0,0.0,novel,-52.0
TAF1A,44,0.5132624916707546,44.0,0.5810231781085806,41.0,0.0,novel,3.0
TSEN34,45,0.5128920414162569,45.0,0.6111592382960906,18.0,0.01,novel,27.0
POLR1G,46,0.5120490207812082,46.0,0.5497496716216674,65.0,0.0,novel,-19.0
TOP1,47,0.5103406877300735,47.0,0.5403537774485461,77.0,0.01,approved_sm_drug,-30.0
MED26,48,0.5101713274974529,48.0,0.5720375349393437,46.0,0.0,novel,2.0
TRAPPC13,49,0.5085222413607534,49.0,0.5613329972738247,54.0,0.0,novel,-5.0
ARHGAP11A,50,0.5073662291998514,50.0,0.5948637825386177,29.0,0.0,novel,21.0
HSCB,51,0.5072762661288884,51.0,0.581345825562725,40.0,0.0,novel,11.0
LYRM4,52,0.5061165082381652,52.0,0.5638795254398113,53.0,0.0,novel,-1.0
BRAT1,53,0.5051913901494849,53.0,0.5954754717378281,27.0,0.0,novel,26.0
PTPMT1,54,0.5038879734200148,54.0,0.592234932155515,32.0,0.0,novel,22.0
CYFIP1,55,0.5034721693679708,55.0,0.4900720785172546,133.0,0.0,novel,-78.0
VHL,56,0.5033591228959924,56.0,0.5294939887286495,90.0,0.0,has_sm_chemistry,-34.0
SKA1,57,0.5021126443084594,57.0,0.5923689565138253,31.0,0.0,novel,26.0
MAK16,58,0.5012887540726096,58.0,0.5753226543687104,44.0,0.0,novel,14.0
SLC35B2,59,0.4993735355495631,59.0,0.5888629349753624,34.0,0.0,novel,25.0
FRS2,60,0.4968862933205151,60.0,0.5465681458039295,70.0,0.0,novel,-10.0
EAF1,61,0.4966784583131471,61.0,0.5411646944127831,75.0,0.0,novel,-14.0
SURF4,62,0.4960661929107817,62.0,0.5696812707903804,48.0,0.0,novel,14.0
TARS1,63,0.4955143223604446,63.0,0.5295603689985031,89.0,0.0,novel,-26.0
CHMP7,64,0.49441322952287325,64.0,0.5600139483669981,57.0,0.0,novel,7.0
ALG1,65,0.4937351688826788,65.0,0.582220017136115,39.0,0.0,novel,26.0
VBP1,66,0.4936935154705441,66.0,0.5685071229695632,49.0,0.0,novel,17.0
ACTR3,67,0.4927554616102219,67.0,0.4922783081779272,131.0,0.0,novel,-64.0
ZNF593,68,0.4924993052695504,68.0,0.557001711209486,59.0,0.0,novel,9.0
GPX4,69,0.4918214663786473,69.0,0.5071158643111614,117.0,0.38,novel,-48.0
NOC3L,70,0.48943622820814564,70.0,0.5454639959591455,72.0,0.0,novel,-2.0
H3C8,71,0.4863402025038994,71.0,0.5809088392034341,42.0,0.0,novel,29.0
PTPN11,72,0.4862373251508597,72.0,0.44674820074617,195.0,0.59,has_sm_chemistry,-123.0
FOXK1,73,0.48501859563525046,73.0,0.5396925926096227,78.0,0.0,novel,-5.0
CCNK,74,0.48403851262632913,74.0,0.5149228384479878,106.0,0.0,novel,-32.0
AK6,75,0.48352464372268256,75.0,0.5152582044092635,104.0,0.0,novel,-29.0
SPOUT1,76,0.4833631886576927,76.0,0.5551333716634856,61.0,0.0,novel,15.0
PES1,77,0.48274494526549966,77.0,0.5606944052631617,55.0,0.0,novel,22.0
OSBP,78,0.48272633293654243,78.0,0.5055933254068663,119.0,0.01,novel,-41.0
ACTL6A,79,0.4814031783812881,79.0,0.5549719004234932,62.0,0.0,novel,17.0
SYS1,80,0.4812123820181567,80.0,0.5658035949999204,50.0,0.0,novel,30.0
SEPSECS,81,0.48078424894075733,81.0,0.5307291950807309,85.0,0.0,novel,-4.0
KDM8,82,0.48066745063901467,82.0,0.48634629854287414,139.0,0.0,novel,-57.0
WWTR1,83,0.47873217421908293,83.0,0.49511445732232734,128.0,0.2,novel,-45.0
EEFSEC,84,0.4785837055640531,84.0,0.5456268016202009,71.0,0.0,novel,13.0
TUBB,85,0.478393756405058,85.0,0.5074573832308205,116.0,0.0,approved_sm_drug,-31.0
RAC1,86,0.4753319599571728,86.0,0.5131326627799628,111.0,0.0,novel,-25.0
RABGGTB,87,0.4748338246580722,87.0,0.4731955337369281,151.0,0.0,novel,-64.0
UFC1,88,0.47460638826086354,88.0,0.5093831829620751,114.0,0.0,novel,-26.0
NUP35,89,0.47207847577988354,89.0,0.5489545183320192,67.0,0.0,novel,22.0
UBA5,90,0.47057218918290417,90.0,0.5062452768334559,118.0,0.04,novel,-28.0
KLF16,91,0.46911130863053185,91.0,0.47870785479046707,146.0,0.0,novel,-55.0
POLR1H,92,0.4685733901262466,92.0,0.5375530147421747,79.0,0.0,novel,13.0
CCT4,93,0.46730337946147443,93.0,0.5538675548515718,63.0,0.0,novel,30.0
PNO1,94,0.4671594533106966,94.0,0.5569709796462808,60.0,0.0,novel,34.0
GRB2,95,0.46632739742909834,95.0,0.41605158178258517,216.0,0.0,has_sm_chemistry,-121.0
RPL26L1,96,0.4658504174309682,96.0,0.5436743089576042,73.0,0.0,novel,23.0
CCT6A,97,0.4640142022471538,97.0,0.5639152000772877,52.0,0.0,novel,45.0
BARD1,98,0.46287333909291845,98.0,0.5740480450953328,45.0,0.0,novel,53.0
HAUS2,99,0.46166928124471174,99.0,0.5484169608811604,68.0,0.0,novel,31.0
GOLT1B,100,0.461652648899475,100.0,0.5180408208198317,99.0,0.0,novel,1.0
PPP2R1A,101,0.4615638944216287,101.0,0.5143337034671202,107.0,0.0,novel,-6.0
ODR4,102,0.4604363748974014,102.0,0.5044513788178048,120.0,0.0,novel,-18.0
