gene,freq_named,freq_masked,delta,effect,novelty_tier,rank_all,cat_selectivity,cat_dependency,cat_tractability,is_gbm_oncogene_control
KIF18A,1.0,0.0,-1.0,NAME-INFLATED (drops when masked),novel,16,0.1146010186757215,0.9101393796623478,0.6,False
VRK1,1.0,0.9885057471264368,-0.011494252873563204,evidence-carried (robust),novel,7,0.5738539898132429,0.8957106399685906,0.8,True
MET,1.0,1.0,0.0,evidence-carried (robust),approved_sm_drug,4,0.969439728353141,0.5987436199450333,1.0,True
CDK2,1.0,0.9080459770114943,-0.09195402298850575,evidence-carried (robust),has_sm_chemistry,6,0.3115449915110356,0.752601099332548,1.0,False
CDK7,1.0,0.034482758620689655,-0.9655172413793104,NAME-INFLATED (drops when masked),has_sm_chemistry,40,0.0008488964346348,0.5123674911660777,1.0,False
TEAD1,1.0,0.47126436781609193,-0.5287356321839081,NAME-INFLATED (drops when masked),has_sm_chemistry,41,0.83276740237691,0.211695131527287,0.8,False
PDGFRA,1.0,1.0,0.0,evidence-carried (robust),approved_sm_drug,2,0.9278438030560272,0.6054426776599922,1.0,True
ELAVL1,0.98,0.9195402298850575,-0.060459770114942524,evidence-carried (robust),novel,22,0.8166383701188455,0.5110669414998037,0.55,False
EGLN1,0.95,0.9885057471264368,0.03850574712643684,evidence-carried (robust),approved_sm_drug,14,0.8820033955857386,0.4728111503729878,1.0,False
KIF2C,0.86,0.28735632183908044,-0.5726436781609195,NAME-INFLATED (drops when masked),novel,1,0.8225806451612903,0.6048292108362779,0.6,False
E2F3,0.63,0.7931034482758621,0.1631034482758621,evidence-carried (robust),novel,23,0.8743633276740238,0.4465547703180212,0.0,False
WDR77,0.62,0.21839080459770116,-0.40160919540229884,NAME-INFLATED (drops when masked),novel,19,0.0093378607809847,0.627208480565371,0.6,False
PTPN11,0.6,0.0,-0.6,NAME-INFLATED (drops when masked),has_sm_chemistry,74,0.2597623089983022,0.6933156654888103,1.0,False
KIF18B,0.57,0.632183908045977,0.062183908045977065,evidence-carried (robust),novel,11,0.6740237691001698,0.7529201020808793,0.0,False
FGFR1,0.5,0.25287356321839083,-0.24712643678160917,evidence-carried (robust),approved_sm_drug,12,0.9066213921901528,0.5982528464860621,1.0,True
CDC25B,0.43,0.8735632183908046,0.44356321839080465,other/low,has_sm_chemistry,13,0.8047538200339559,0.6379073419709462,1.0,False
ITGB5,0.37,1.0,0.63,other/low,novel,5,0.7767402376910018,0.706198468786808,0.8,False
GPX4,0.3,0.0,-0.3,other/low,novel,71,0.2945670628183361,0.9144091087553985,0.6,False
PTK2,0.25,0.0,-0.25,other/low,has_sm_chemistry,15,0.5050933786078099,0.8396643109540636,1.0,False
